"Registry name","Name","Type","Rarity","ID"
"crossbows:piercing","enchantment.crossbows.piercing","crossbow","COMMON",149
"crossbows:quick_charge","enchantment.crossbows.quickcharge","crossbow","UNCOMMON",147
"deeperdepths:breach","enchantment.deeperdepths.breach","WEAPON","RARE",150
"deeperdepths:density","enchantment.deeperdepths.density","WEAPON","UNCOMMON",151
"deeperdepths:wind_burst","enchantment.deeperdepths.wind_burst","WEAPON","RARE",152
"defiledlands:blazing","enchantment.blazing","UMBRA_BLASTER","VERY_RARE",157
"defiledlands:destructive","enchantment.destructive","DESTRUCTIVE","COMMON",155
"defiledlands:economical","enchantment.economical","GUN","UNCOMMON",154
"defiledlands:safeguard","enchantment.safeguard","UMBRA_BLASTER","COMMON",156
"defiledlands:sharpshooter","enchantment.sharpshooter","GUN","COMMON",153
"ebwizardry:flaming_weapon","enchantment.ebwizardry:flaming_weapon","<null>","COMMON",13
"ebwizardry:freezing_weapon","enchantment.ebwizardry:freezing_weapon","<null>","COMMON",14
"ebwizardry:frost_protection","enchantment.ebwizardry:frost_protection","ARMOR","RARE",23
"ebwizardry:magic_bow","enchantment.ebwizardry:magic_bow","<null>","COMMON",12
"ebwizardry:magic_protection","enchantment.ebwizardry:magic_protection","ARMOR","UNCOMMON",15
"ebwizardry:magic_sword","enchantment.ebwizardry:magic_sword","<null>","COMMON",11
"ebwizardry:shock_protection","enchantment.ebwizardry:shock_protection","ARMOR","RARE",24
"farmersdelight:backstabbing","enchantment.backstabbing","WEAPON","UNCOMMON",165
"futurefireproof:fireproof","enchantment.fireproof","ALL","COMMON",175
"futuremc:channeling","enchantment.channeling","weapons","VERY_RARE",172
"futuremc:impaling","enchantment.impaling","weapons","RARE",174
"futuremc:loyalty","enchantment.loyalty","weapons","UNCOMMON",171
"futuremc:riptide","enchantment.riptide","weapons","RARE",173
"minecraft:aqua_affinity","enchantment.waterWorker","ARMOR_HEAD","RARE",6
"minecraft:bane_of_arthropods","enchantment.damage.arthropods","WEAPON","UNCOMMON",18
"minecraft:binding_curse","enchantment.binding_curse","WEARABLE","VERY_RARE",10
"minecraft:blast_protection","enchantment.protect.explosion","ARMOR","RARE",3
"minecraft:depth_strider","enchantment.waterWalker","ARMOR_FEET","RARE",8
"minecraft:efficiency","enchantment.digging","DIGGER","COMMON",32
"minecraft:feather_falling","enchantment.protect.fall","ARMOR_FEET","UNCOMMON",2
"minecraft:fire_aspect","enchantment.fire","WEAPON","RARE",20
"minecraft:fire_protection","enchantment.protect.fire","ARMOR","UNCOMMON",1
"minecraft:flame","enchantment.arrowFire","BOW","RARE",50
"minecraft:fortune","enchantment.lootBonusDigger","DIGGER","RARE",35
"minecraft:frost_walker","enchantment.frostWalker","ARMOR_FEET","RARE",9
"minecraft:infinity","enchantment.arrowInfinite","BOW","VERY_RARE",51
"minecraft:knockback","enchantment.knockback","WEAPON","UNCOMMON",19
"minecraft:looting","enchantment.lootBonus","WEAPON","RARE",21
"minecraft:luck_of_the_sea","enchantment.lootBonusFishing","FISHING_ROD","RARE",61
"minecraft:lure","enchantment.fishingSpeed","FISHING_ROD","RARE",62
"minecraft:mending","enchantment.mending","BREAKABLE","RARE",70
"minecraft:power","enchantment.arrowDamage","BOW","COMMON",48
"minecraft:projectile_protection","enchantment.protect.projectile","ARMOR","UNCOMMON",4
"minecraft:protection","enchantment.protect.all","ARMOR","COMMON",0
"minecraft:punch","enchantment.arrowKnockback","BOW","RARE",49
"minecraft:respiration","enchantment.oxygen","ARMOR_HEAD","RARE",5
"minecraft:sharpness","enchantment.damage.all","WEAPON","COMMON",16
"minecraft:silk_touch","enchantment.untouching","DIGGER","VERY_RARE",33
"minecraft:smite","enchantment.damage.undead","WEAPON","UNCOMMON",17
"minecraft:sweeping","enchantment.sweeping","WEAPON","RARE",22
"minecraft:thorns","enchantment.thorns","ARMOR_CHEST","VERY_RARE",7
"minecraft:unbreaking","enchantment.durability","BREAKABLE","UNCOMMON",34
"minecraft:vanishing_curse","enchantment.vanishing_curse","ALL","VERY_RARE",71
"mod_lavacow:corrosive","enchantment.mod_lavacow.corrosive","WEAPON","VERY_RARE",168
"mod_lavacow:critical_boost","enchantment.mod_lavacow.critical_boost","WEAPON","RARE",169
"mod_lavacow:dominion","enchantment.mod_lavacow.dominion","WEAPON","VERY_RARE",170
"mod_lavacow:lifesteal","enchantment.mod_lavacow.lifesteal","WEAPON","VERY_RARE",167
"mod_lavacow:poisonous","enchantment.mod_lavacow.poisonous","WEAPON","RARE",166
"nb:soul_speed","enchantment.soul_speed","ARMOR_FEET","VERY_RARE",27
"oe:channeling","enchantment.oe.channeling","WEAPON","UNCOMMON",161
"oe:is_watermob","enchantment.oe.is_watermob","WEAPON","RARE",158
"oe:is_wet","enchantment.oe.is_wet","WEAPON","RARE",159
"oe:loyalty","enchantment.oe.loyalty","WEAPON","UNCOMMON",160
"oe:mobstomp","enchantment.oe.mobstomp","ARMOR_FEET","UNCOMMON",163
"oe:rebound","enchantment.oe.rebound","ARMOR_FEET","UNCOMMON",164
"oe:riptide","enchantment.oe.riptide","WEAPON","UNCOMMON",162
"radenchants:appetite","enchantment.radenchants:appetite","re_appetite","RARE",207
"radenchants:auto_block","enchantment.radenchants:auto_block","re_auto_block","RARE",192
"radenchants:backstab","enchantment.radenchants:backstab","re_backstab","RARE",186
"radenchants:barbs","enchantment.radenchants:barbs","re_barbs","UNCOMMON",181
"radenchants:boosted","enchantment.radenchants:boosted","re_boosted","VERY_RARE",219
"radenchants:breaching","enchantment.radenchants:breaching","re_breaching","UNCOMMON",188
"radenchants:climbing_gear","enchantment.radenchants:climbing_gear","re_climbing_gear","UNCOMMON",220
"radenchants:decapitating","enchantment.radenchants:decapitating","re_decapitating","RARE",179
"radenchants:deep_pockets","enchantment.radenchants:deep_pockets","re_deep_pockets","RARE",197
"radenchants:dreams","enchantment.radenchants:dreams","re_dreams","UNCOMMON",206
"radenchants:dual_edge","enchantment.radenchants:dual_edge","re_dual_edge","VERY_RARE",180
"radenchants:earplugs","enchantment.radenchants:earplugs","re_earplugs","UNCOMMON",218
"radenchants:evasive_fire","enchantment.radenchants:evasive_fire","re_evasive_fire","RARE",193
"radenchants:focus_fire","enchantment.radenchants:focus_fire","re_focus_fire","RARE",194
"radenchants:gallop","enchantment.radenchants:gallop","re_gallop","RARE",213
"radenchants:glare","enchantment.radenchants:glare","re_glare","VERY_RARE",215
"radenchants:gluttony","enchantment.radenchants:gluttony","re_gluttony","RARE",185
"radenchants:gunner","enchantment.radenchants:gunner","re_gunner","RARE",209
"radenchants:haven","enchantment.radenchants:haven","re_haven","VERY_RARE",214
"radenchants:illuminate","enchantment.radenchants:illuminate","re_illuminate","RARE",204
"radenchants:impenetrable","enchantment.radenchants:impenetrable","re_impenetrable","RARE",190
"radenchants:life_leech","enchantment.radenchants:life_leech","re_life_leech","RARE",176
"radenchants:magical_blade","enchantment.radenchants:magical_blade","re_magical_blade","RARE",177
"radenchants:mobile","enchantment.radenchants:mobile","re_mobile","RARE",189
"radenchants:moon_boots","enchantment.radenchants:moon_boots","re_moon_boots","RARE",201
"radenchants:nightmask","enchantment.radenchants:nightmask","re_nightmask","UNCOMMON",184
"radenchants:one_man_army","enchantment.radenchants:one_man_army","re_one_man_army","RARE",196
"radenchants:one_with_the_blade","enchantment.radenchants:one_with_the_blade","re_one_with_the_blade","VERY_RARE",211
"radenchants:paladin","enchantment.radenchants:paladin","re_paladin","RARE",210
"radenchants:pocket_dimension","enchantment.radenchants:pocket_dimension","re_pocket_dimension","VERY_RARE",200
"radenchants:pocket_protector","enchantment.radenchants:pocket_protector","re_pocket_protector","RARE",198
"radenchants:rabbits_feet","enchantment.radenchants:rabbits_feet","re_rabbits_feet","RARE",202
"radenchants:recoil","enchantment.radenchants:recoil","re_recoil","UNCOMMON",191
"radenchants:rejuvenate","enchantment.radenchants:rejuvenate","re_rejuvenate","VERY_RARE",203
"radenchants:ruthless","enchantment.radenchants:ruthless","re_ruthless","RARE",195
"radenchants:sacrifice","enchantment.radenchants:sacrifice","re_sacrifice","UNCOMMON",217
"radenchants:safeguard","enchantment.radenchants:safeguard","re_safeguard","VERY_RARE",183
"radenchants:seventh","enchantment.radenchants:seventh","re_seventh","VERY_RARE",205
"radenchants:shadow_meld","enchantment.radenchants:shadow_meld","re_shadow_meld","UNCOMMON",208
"radenchants:sheathed","enchantment.radenchants:sheathed","re_sheathed","UNCOMMON",187
"radenchants:snitch","enchantment.radenchants:snitch","re_snitch","RARE",212
"radenchants:socketed","enchantment.radenchants:socketed","re_socketed","VERY_RARE",216
"radenchants:soul_mending","enchantment.radenchants:soul_mending","re_soul_mending","RARE",178
"radenchants:void_bane","enchantment.radenchants:void_bane","re_void_bane","VERY_RARE",182
"radenchants:yield","enchantment.radenchants:yield","re_yield","VERY_RARE",199
"somanyenchantments:adept","enchantment.adept","None","RARE",29
"somanyenchantments:ancientsealedcurses","enchantment.ancientsealedcurses","None","VERY_RARE",30
"somanyenchantments:ancientswordmastery","enchantment.ancientswordmastery","None","VERY_RARE",31
"somanyenchantments:arcslash","enchantment.arcslash","None","VERY_RARE",36
"somanyenchantments:ascetic","enchantment.ascetic","None","RARE",100
"somanyenchantments:ashdestroyer","enchantment.ashdestroyer","None","RARE",37
"somanyenchantments:blessededge","enchantment.blessededge","None","RARE",38
"somanyenchantments:bluntness","enchantment.bluntness","None","RARE",101
"somanyenchantments:breachedplating","enchantment.breachedplating","None","RARE",102
"somanyenchantments:brutality","enchantment.brutality","None","RARE",39
"somanyenchantments:burningshield","enchantment.burningshield","None","RARE",40
"somanyenchantments:burningthorns","enchantment.burningthorns","None","VERY_RARE",41
"somanyenchantments:butchering","enchantment.butchering","None","RARE",42
"somanyenchantments:clearskiesfavor","enchantment.clearskiesfavor","None","RARE",43
"somanyenchantments:combatmedic","enchantment.combatmedic","None","RARE",44
"somanyenchantments:counterattack","enchantment.counterattack","None","RARE",45
"somanyenchantments:criticalstrike","enchantment.criticalstrike","None","RARE",46
"somanyenchantments:cryogenic","enchantment.cryogenic","None","RARE",47
"somanyenchantments:culling","enchantment.culling","None","VERY_RARE",52
"somanyenchantments:cursededge","enchantment.cursededge","None","RARE",103
"somanyenchantments:curseofdecay","enchantment.curseofdecay","None","VERY_RARE",104
"somanyenchantments:curseofholding","enchantment.curseofholding","None","VERY_RARE",105
"somanyenchantments:curseofinaccuracy","enchantment.curseofinaccuracy","None","VERY_RARE",106
"somanyenchantments:curseofpossession","enchantment.curseofpossession","None","VERY_RARE",107
"somanyenchantments:curseofvulnerability","enchantment.curseofvulnerability","None","VERY_RARE",108
"somanyenchantments:darkshadows","enchantment.darkshadows","None","RARE",53
"somanyenchantments:defusingedge","enchantment.defusingedge","None","RARE",54
"somanyenchantments:desolator","enchantment.desolator","None","RARE",55
"somanyenchantments:disarmament","enchantment.disarmament","None","RARE",56
"somanyenchantments:disorientatingblade","enchantment.disorientatingblade","None","RARE",57
"somanyenchantments:dragging","enchantment.dragging","None","VERY_RARE",109
"somanyenchantments:empowereddefence","enchantment.empowereddefence","None","RARE",58
"somanyenchantments:envenomed","enchantment.envenomed","None","RARE",59
"somanyenchantments:extinguish","enchantment.extinguish","None","VERY_RARE",110
"somanyenchantments:fieryedge","enchantment.fieryedge","None","VERY_RARE",60
"somanyenchantments:flinging","enchantment.flinging","None","UNCOMMON",63
"somanyenchantments:heavyweight","enchantment.heavyweight","None","RARE",111
"somanyenchantments:horsdecombat","enchantment.horsdecombat","None","RARE",64
"somanyenchantments:inefficient","enchantment.inefficient","None","RARE",112
"somanyenchantments:inhumane","enchantment.inhumane","None","RARE",65
"somanyenchantments:innerberserk","enchantment.innerberserk","None","VERY_RARE",66
"somanyenchantments:instability","enchantment.instability","None","VERY_RARE",113
"somanyenchantments:jaggedrake","enchantment.jaggedrake","None","RARE",67
"somanyenchantments:levitator","enchantment.levitator","None","RARE",68
"somanyenchantments:lightweight","enchantment.lightweight","None","RARE",69
"somanyenchantments:lunasblessing","enchantment.lunasblessing","None","RARE",72
"somanyenchantments:magicprotection","enchantment.magicprotection","None","UNCOMMON",73
"somanyenchantments:magmawalker","enchantment.magmawalker","None","VERY_RARE",74
"somanyenchantments:meltdown","enchantment.meltdown","None","VERY_RARE",114
"somanyenchantments:moisturized","enchantment.moisturized","None","UNCOMMON",75
"somanyenchantments:naturalblocking","enchantment.naturalblocking","None","RARE",76
"somanyenchantments:pandorascurse","enchantment.pandorascurse","None","VERY_RARE",115
"somanyenchantments:penetratingedge","enchantment.penetratingedge","None","RARE",77
"somanyenchantments:physicalprotection","enchantment.physicalprotection","None","RARE",78
"somanyenchantments:plowing","enchantment.plowing","None","RARE",98
"somanyenchantments:powerless","enchantment.powerless","None","RARE",116
"somanyenchantments:purgingblade","enchantment.purgingblade","None","UNCOMMON",79
"somanyenchantments:purification","enchantment.purification","None","UNCOMMON",80
"somanyenchantments:pushing","enchantment.pushing","None","VERY_RARE",81
"somanyenchantments:rainsbestowment","enchantment.rainsbestowment","None","RARE",82
"somanyenchantments:reinforcedsharpness","enchantment.reinforcedsharpness","None","RARE",84
"somanyenchantments:reviledblade","enchantment.reviledblade","None","VERY_RARE",83
"somanyenchantments:rune_arrowpiercing","enchantment.rune_arrowpiercing","None","VERY_RARE",119
"somanyenchantments:rune_magicalblessing","enchantment.rune_magicalblessing","None","VERY_RARE",120
"somanyenchantments:rune_piercingcapabilities","enchantment.rune_piercingcapabilities","None","VERY_RARE",121
"somanyenchantments:rune_resurrection","enchantment.rune_resurrection","None","VERY_RARE",122
"somanyenchantments:rune_revival","enchantment.rune_revival","None","VERY_RARE",123
"somanyenchantments:rusted","enchantment.rusted","None","RARE",117
"somanyenchantments:smelter","enchantment.smelter","None","VERY_RARE",85
"somanyenchantments:solsblessing","enchantment.solsblessing","None","RARE",86
"somanyenchantments:spellbreaker","enchantment.spellbreaker","None","RARE",87
"somanyenchantments:splitshot","enchantment.splitshot","None","VERY_RARE",88
"somanyenchantments:strafe","enchantment.strafe","None","UNCOMMON",89
"somanyenchantments:strengthenedvitality","enchantment.strengthenedvitality","None","VERY_RARE",90
"somanyenchantments:subjectbiology","enchantment.subjectbiology","None","RARE",124
"somanyenchantments:subjectchemistry","enchantment.subjectchemistry","None","RARE",125
"somanyenchantments:subjectenglish","enchantment.subjectenglish","None","RARE",126
"somanyenchantments:subjectgeography","enchantment.subjectgeography","None","RARE",131
"somanyenchantments:subjecthistory","enchantment.subjecthistory","None","RARE",127
"somanyenchantments:subjectmathematics","enchantment.subjectmathematics","None","RARE",128
"somanyenchantments:subjectpe","enchantment.subjectpe","None","RARE",129
"somanyenchantments:subjectphysics","enchantment.subjectphysics","None","RARE",130
"somanyenchantments:swifterslashes","enchantment.swifterslashes","None","VERY_RARE",91
"somanyenchantments:thunderstormsbestowment","enchantment.thunderstormsbestowment","None","RARE",92
"somanyenchantments:truestrike","enchantment.truestrike","None","RARE",93
"somanyenchantments:unpredictable","enchantment.unpredictable","None","VERY_RARE",118
"somanyenchantments:unreasonable","enchantment.unreasonable","None","RARE",94
"somanyenchantments:unsheathing","enchantment.unsheathing","None","VERY_RARE",95
"somanyenchantments:viper","enchantment.viper","None","RARE",96
"somanyenchantments:wateraspect","enchantment.wateraspect","None","RARE",97
"somanyenchantments:wintersgrace","enchantment.wintersgrace","None","RARE",99
"spartanshields:ssenchspikes","enchantment.spartanshields:spikes","ss_shield","UNCOMMON",221
"spartanweaponry:expanse","enchantment.spartanweaponry:expanse","sw_throwing_weapon","RARE",138
"spartanweaponry:hydrodynamic","enchantment.spartanweaponry:hydrodynamic","sw_throwing_weapon","VERY_RARE",136
"spartanweaponry:incendiary","enchantment.spartanweaponry:incendiary","sw_throwing_weapon","RARE",134
"spartanweaponry:lucky_throw","enchantment.spartanweaponry:lucky_throw","sw_throwing_weapon","RARE",135
"spartanweaponry:propulsion","enchantment.spartanweaponry:propulsion","sw_throwing_weapon","UNCOMMON",132
"spartanweaponry:rapid_load","enchantment.spartanweaponry:rapid_load","sw_crossbow","UNCOMMON",140
"spartanweaponry:razors_edge","enchantment.spartanweaponry:razors_edge","sw_throwing_weapon","COMMON",133
"spartanweaponry:return","enchantment.spartanweaponry:return","sw_throwing_weapon","VERY_RARE",139
"spartanweaponry:sharpshooter","enchantment.spartanweaponry:sharpshooter","sw_crossbow","RARE",142
"spartanweaponry:spreadshot","enchantment.spartanweaponry:spreadshot","sw_crossbow","RARE",141
"spartanweaponry:supercharge","enchantment.spartanweaponry:supercharge","sw_throwing_weapon","RARE",137
"spectral_edge:spectral_edge","enchantment.damage.spectral","WEAPON","COMMON",222
"spellbundle:magically_weakened","enchantment.spellbundle:magically_weakened","<null>","COMMON",229
"switchbow:activescope","enchantment.activeScope","BOW","RARE",224
"switchbow:cooldownreduce","enchantment.cooldownReduce","BOW","RARE",225
"switchbow:pullspeed","enchantment.pullSpeed","BOW","RARE",223
