"Mod name","Registry name","Item ID","Meta/dmg","Display name","Recipe name","Ore Dict keys"
"Akashic Tome","akashictome:tome",5300,0,"Akashic Tome","akashictome:tome",""
"Akashic Tome","akashictome:tome",5300,0,"Akashic Tome","akashictome:tome_1",""
"Ancient Warfare Core","ancientwarfare:component",4756,0,"Wooden Gear Set","ancientwarfare:automation/wooden_gear","gearWood"
"Ancient Warfare Core","ancientwarfare:component",4756,1,"Iron Gear Set","ancientwarfare:automation/iron_gear","gearIron"
"Ancient Warfare Core","ancientwarfare:component",4756,2,"Steel Gear Set","ancientwarfare:automation/steel_gear","gearSteel"
"Ancient Warfare Core","ancientwarfare:component",4756,3,"Wooden Bushing Set","ancientwarfare:automation/wooden_bearings","bearingWood"
"Ancient Warfare Core","ancientwarfare:component",4756,4,"Iron Bushing Set Set","ancientwarfare:automation/iron_bearings","bearingIron"
"Ancient Warfare Core","ancientwarfare:component",4756,5,"Steel Bushing Set","ancientwarfare:automation/steel_bearings","bearingSteel"
"Ancient Warfare Core","ancientwarfare:component",4756,6,"Wooden Torque Shaft","ancientwarfare:automation/wooden_shaft","shaftWood"
"Ancient Warfare Core","ancientwarfare:component",4756,7,"Iron Torque Shaft","ancientwarfare:automation/iron_shaft","shaftIron"
"Ancient Warfare Core","ancientwarfare:component",4756,8,"Steel Torque Shaft","ancientwarfare:automation/steel_shaft","shaftSteel"
"Ancient Warfare Core","ancientwarfare:engineering_station",4739,0,"Engineering Bench","ancientwarfare:core/engineering_station",""
"Ancient Warfare Core","ancientwarfare:manual",4755,0,"Treatise on the Principles of Ruling","ancientwarfare:core/manual",""
"Ancient Warfare Core","ancientwarfare:research_book",4742,0,"Research Book","ancientwarfare:core/research_book",""
"Ancient Warfare Core","ancientwarfare:research_station",4740,0,"Research Bench","ancientwarfare:core/research_station",""
"Ancient Warfare Core","ancientwarfarenpc:diamond_halberd",4831,0,"Diamond Halberd","ancientwarfare:npc/diamond_halberd",""
"Ancient Warfare Core","ancientwarfarenpc:diamond_lance",4836,0,"Diamond Lance","ancientwarfare:npc/diamond_lance",""
"Ancient Warfare Core","ancientwarfarenpc:diamond_spear",4826,0,"Diamond Spear","ancientwarfare:npc/diamond_spear",""
"Ancient Warfare Core","ancientwarfarenpc:golden_halberd",4830,0,"Golden Halberd","ancientwarfare:npc/golden_halberd",""
"Ancient Warfare Core","ancientwarfarenpc:golden_lance",4835,0,"Golden Lance","ancientwarfare:npc/golden_lance",""
"Ancient Warfare Core","ancientwarfarenpc:golden_spear",4825,0,"Golden Spear","ancientwarfare:npc/golden_spear",""
"Ancient Warfare Core","ancientwarfarenpc:iron_halberd",4829,0,"Iron Halberd","ancientwarfare:npc/iron_halberd",""
"Ancient Warfare Core","ancientwarfarenpc:iron_lance",4834,0,"Iron Lance","ancientwarfare:npc/iron_lance",""
"Ancient Warfare Core","ancientwarfarenpc:iron_spear",4824,0,"Iron Spear","ancientwarfare:npc/iron_spear",""
"Ancient Warfare Core","ancientwarfarenpc:stone_halberd",4828,0,"Stone Halberd","ancientwarfare:npc/stone_halberd",""
"Ancient Warfare Core","ancientwarfarenpc:stone_lance",4833,0,"Stone Lance","ancientwarfare:npc/stone_lance",""
"Ancient Warfare Core","ancientwarfarenpc:stone_spear",4823,0,"Stone Spear","ancientwarfare:npc/stone_spear",""
"Ancient Warfare Core","ancientwarfarenpc:wooden_halberd",4827,0,"Wooden Halberd","ancientwarfare:npc/wooden_halberd",""
"Ancient Warfare Core","ancientwarfarenpc:wooden_lance",4832,0,"Wooden Lance","ancientwarfare:npc/wooden_lance",""
"Ancient Warfare Core","ancientwarfarenpc:wooden_spear",4822,0,"Wooden Spear","ancientwarfare:npc/wooden_spear",""
"Ancient Warfare Core","ancientwarfarestructure:coin_stack_ancient",4891,0,"Ancient Coin Stack","ancientwarfare:structure/coin_stack_ancient",""
"Ancient Warfare Core","ancientwarfarestructure:coin_stack_copper",4888,0,"Copper Owl Stack","ancientwarfare:structure/coin_stack_copper",""
"Ancient Warfare Core","ancientwarfarestructure:coin_stack_gold",4890,0,"Gold Dragon Stack","ancientwarfare:structure/coin_stack_gold",""
"Ancient Warfare Core","ancientwarfarestructure:coin_stack_silver",4889,0,"Silver Stag Stack","ancientwarfare:structure/coin_stack_silver",""
"Ancient Warfare Core","ancientwarfarestructure:fire_pit",4851,0,"Fire Pit Unlit","ancientwarfare:structure/fire_pit_default",""
"Ancient Warfare Core","ancientwarfarestructure:fire_pit",4851,0,"Square Fire Pit Unlit","ancientwarfare:structure/fire_pit_square",""
"Ancient Warfare Core","ancientwarfarestructure:fire_pit",4851,0,"Wood only Fire Pit Unlit","ancientwarfare:structure/fire_pit_log",""
"Ancient Warfare Core","ancientwarfarestructure:totem_part",4852,0,"Totem Alternate Middle","ancientwarfare:structure/totem_part_mid_alt",""
"Ancient Warfare Core","ancientwarfarestructure:totem_part",4852,0,"Totem Base","ancientwarfare:structure/totem_part_base",""
"Ancient Warfare Core","ancientwarfarestructure:totem_part",4852,0,"Totem Middle","ancientwarfare:structure/totem_part_mid",""
"Ancient Warfare Core","ancientwarfarestructure:totem_part",4852,0,"Totem Top","ancientwarfare:structure/totem_part_top",""
"Ancient Warfare NPCs","ancientwarfarenpc:combat_order",4809,0,"Combat Order","ancientwarfarenpc:combat_order_copy",""
"Ancient Warfare NPCs","ancientwarfarenpc:routing_order",4810,0,"Routing Order","ancientwarfarenpc:routing_order_copy",""
"Ancient Warfare NPCs","ancientwarfarenpc:upkeep_order",4808,0,"Upkeep Order","ancientwarfarenpc:upkeep_order_copy",""
"Ancient Warfare NPCs","ancientwarfarenpc:work_order",4807,0,"Work Order","ancientwarfarenpc:work_order_copy",""
"AncientSpellcraft","ancientspellcraft:arcane_anvil",12008,0,"Arcane Anvil","ancientspellcraft:arcane_anvil",""
"AncientSpellcraft","ancientspellcraft:arcane_compound",12389,0,"Arcane Compound","ancientspellcraft:arcane_compound",""
"AncientSpellcraft","ancientspellcraft:astral_diamond_shard",12336,0,"Astral Diamond Shard","ancientspellcraft:astral_diamond_shard",""
"AncientSpellcraft","ancientspellcraft:battlemage_contract",12352,0,"Battlemage Contract","ancientspellcraft:battlemage_contract",""
"AncientSpellcraft","ancientspellcraft:battlemage_shield",12089,0,"Runic Shield","ancientspellcraft:battlemage_shield",""
"AncientSpellcraft","ancientspellcraft:battlemage_sword_blade",12346,0,"Crystal Silver Blade","ancientspellcraft:battlemage_sword_blade",""
"AncientSpellcraft","ancientspellcraft:battlemage_sword_hilt",12345,0,"Spell Sword Hilt","ancientspellcraft:battlemage_sword_hilt",""
"AncientSpellcraft","ancientspellcraft:crystal_silver_ingot",12348,0,"Crystal Silver Ingot","ancientspellcraft:crystal_silver_ingot_from_nuggets",""
"AncientSpellcraft","ancientspellcraft:crystal_silver_nugget",12347,0,"Crystal Silver Nugget","ancientspellcraft:crystal_silver_nugget",""
"AncientSpellcraft","ancientspellcraft:devoritium_arrow",12095,0,"Devoritium Arrow","ancientspellcraft:devoritium_arrow",""
"AncientSpellcraft","ancientspellcraft:devoritium_axe",12094,0,"Devoritium Axe","ancientspellcraft:devoritium_axe",""
"AncientSpellcraft","ancientspellcraft:devoritium_bars",12003,0,"Devoritium Bars","ancientspellcraft:devoritium_bars",""
"AncientSpellcraft","ancientspellcraft:devoritium_block",12001,0,"Devoritium Block","ancientspellcraft:devoritium_block",""
"AncientSpellcraft","ancientspellcraft:devoritium_bomb",12096,0,"Devoritium Bomb","ancientspellcraft:devoritium_bomb",""
"AncientSpellcraft","ancientspellcraft:devoritium_door",12097,0,"Devoritium Door","ancientspellcraft:devoritium_door",""
"AncientSpellcraft","ancientspellcraft:devoritium_gilded_stone",12002,0,"Devoritium Gilded Stone","ancientspellcraft:devoritium_gilded_stone",""
"AncientSpellcraft","ancientspellcraft:devoritium_ingot",12091,0,"Devoritium Ingot","ancientspellcraft:devoritium_ingot_from_block",""
"AncientSpellcraft","ancientspellcraft:devoritium_ingot",12091,0,"Devoritium Ingot","ancientspellcraft:devoritium_ingot_from_nuggets",""
"AncientSpellcraft","ancientspellcraft:devoritium_nugget",12092,0,"Devoritium Nugget","ancientspellcraft:devoritium_nugget",""
"AncientSpellcraft","ancientspellcraft:devoritium_shield",12100,0,"Devoritium Shield","ancientspellcraft:devoritium_shield",""
"AncientSpellcraft","ancientspellcraft:devoritium_sword",12093,0,"Devoritium Sword","ancientspellcraft:devoritium_sword",""
"AncientSpellcraft","ancientspellcraft:empty_mystic_spell_book",12398,0,"Empty Mystic Spell Book","ancientspellcraft:empty_mystic_spell_book",""
"AncientSpellcraft","ancientspellcraft:empty_theory_scroll",12361,0,"Empty Theory Scroll","ancientspellcraft:empty_theory_scroll",""
"AncientSpellcraft","ancientspellcraft:enchanted_filament",12349,0,"Enchanted Filament","ancientspellcraft:enchanted_filament",""
"AncientSpellcraft","ancientspellcraft:enchanted_name_tag",12083,0,"Biome Tag","ancientspellcraft:biome_tag",""
"AncientSpellcraft","ancientspellcraft:enchanted_page",12350,0,"Enchanted Page","ancientspellcraft:enchanted_page",""
"AncientSpellcraft","ancientspellcraft:ethereal_essence",12351,0,"Ethereal Essence","ancientspellcraft:ethereal_essence",""
"AncientSpellcraft","ancientspellcraft:mystic_spell_book",12397,0,"Mystic Spell Book","ancientspellcraft:spell_book_experiment",""
"AncientSpellcraft","ancientspellcraft:mystic_spell_book",12397,0,"Mystic Spell Book","ancientspellcraft:spell_book_scribe",""
"AncientSpellcraft","ancientspellcraft:rune_algiz",12378,0,"Algiz Rune","ancientspellcraft:rune_algiz",""
"AncientSpellcraft","ancientspellcraft:rune_ansuz",12367,0,"Ansuz Rune","ancientspellcraft:rune_ansuz",""
"AncientSpellcraft","ancientspellcraft:rune_berkanan",12381,0,"Berkanan Rune","ancientspellcraft:rune_berkanan",""
"AncientSpellcraft","ancientspellcraft:rune_dagaz",12387,0,"Dagaz Rune","ancientspellcraft:rune_dagaz",""
"AncientSpellcraft","ancientspellcraft:rune_ehwaz",12382,0,"Ehwaz Rune","ancientspellcraft:rune_ehwaz",""
"AncientSpellcraft","ancientspellcraft:rune_feoh",12364,0,"Feoh Rune","ancientspellcraft:rune_feoh",""
"AncientSpellcraft","ancientspellcraft:rune_gyfu",12370,0,"Gyfu Rune","ancientspellcraft:rune_gyfu",""
"AncientSpellcraft","ancientspellcraft:rune_haglaz",12372,0,"Haglaz Rune","ancientspellcraft:rune_haglaz",""
"AncientSpellcraft","ancientspellcraft:rune_ihwaz",12376,0,"Ihwaz Rune","ancientspellcraft:rune_ihwaz",""
"AncientSpellcraft","ancientspellcraft:rune_isaz",12374,0,"Isaz Rune","ancientspellcraft:rune_isaz",""
"AncientSpellcraft","ancientspellcraft:rune_jera",12375,0,"Jera Rune","ancientspellcraft:rune_jera",""
"AncientSpellcraft","ancientspellcraft:rune_kaunan",12369,0,"Kaunan Rune","ancientspellcraft:rune_kaunan",""
"AncientSpellcraft","ancientspellcraft:rune_laguz",12384,0,"Laguz Rune","ancientspellcraft:rune_laguz",""
"AncientSpellcraft","ancientspellcraft:rune_mannaz",12383,0,"Mannaz Rune","ancientspellcraft:rune_mannaz",""
"AncientSpellcraft","ancientspellcraft:rune_naudiz",12373,0,"Naudiz Rune","ancientspellcraft:rune_naudiz",""
"AncientSpellcraft","ancientspellcraft:rune_odal",12386,0,"Odal Rune","ancientspellcraft:rune_odal",""
"AncientSpellcraft","ancientspellcraft:rune_peorth",12377,0,"Peorth Rune","ancientspellcraft:rune_peorth",""
"AncientSpellcraft","ancientspellcraft:rune_raido",12368,0,"Raido Rune","ancientspellcraft:rune_raido",""
"AncientSpellcraft","ancientspellcraft:rune_sowilo",12379,0,"Sowilo Rune","ancientspellcraft:rune_sowilo",""
"AncientSpellcraft","ancientspellcraft:rune_thurisaz",12366,0,"Thurisaz Rune","ancientspellcraft:rune_thurisaz",""
"AncientSpellcraft","ancientspellcraft:rune_tiwaz",12380,0,"Tiwaz Rune","ancientspellcraft:rune_tiwaz",""
"AncientSpellcraft","ancientspellcraft:rune_uruz",12365,0,"Uruz Rune","ancientspellcraft:rune_uruz",""
"AncientSpellcraft","ancientspellcraft:rune_wynn",12371,0,"Wynn Rune","ancientspellcraft:rune_wynn",""
"AncientSpellcraft","ancientspellcraft:rune_yngvi",12385,0,"Yngvi Rune","ancientspellcraft:rune_yngvi",""
"AncientSpellcraft","ancientspellcraft:runic_hammer",12090,0,"Runic Hammer","ancientspellcraft:runic_hammer",""
"AncientSpellcraft","ancientspellcraft:sage_lectern",12009,0,"Mystic Lectern","ancientspellcraft:mystic_lectern",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_earth",12035,0,"§2Novice Sage Tome","ancientspellcraft:sage_tome_novice_earth",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_fire",12019,0,"§4Novice Sage Tome","ancientspellcraft:sage_tome_novice_fire",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_healing",12043,0,"§eNovice Sage Tome","ancientspellcraft:sage_tome_novice_healing",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_ice",12023,0,"§bNovice Sage Tome","ancientspellcraft:sage_tome_novice_ice",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_lightning",12027,0,"§3Novice Sage Tome","ancientspellcraft:sage_tome_novice_lightning",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_necromancy",12031,0,"§5Novice Sage Tome","ancientspellcraft:sage_tome_novice_necromancy",""
"AncientSpellcraft","ancientspellcraft:sage_tome_novice_sorcery",12039,0,"§aNovice Sage Tome","ancientspellcraft:sage_tome_novice_sorcery",""
"AncientSpellcraft","ancientspellcraft:scribing_desk",11982,0,"Scribing Desk","ancientspellcraft:scribing_desk",""
"AncientSpellcraft","ancientspellcraft:sphere_cognizance",11984,0,"Sphere of Cognizance","ancientspellcraft:sphere_cognizance",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_earth",12051,0,"§2Novice Earth Warlock Orb","ancientspellcraft:warlock_orb_novice_earth",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_fire",12059,0,"§4Novice Fire Warlock Orb","ancientspellcraft:warlock_orb_novice_fire",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_healing",12075,0,"§eNovice Healing Warlock Orb","ancientspellcraft:warlock_orb_novice_healing",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_ice",12063,0,"§bNovice Ice Warlock Orb","ancientspellcraft:warlock_orb_novice_ice",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_lightning",12067,0,"§3Novice Lightning Warlock Orb","ancientspellcraft:warlock_orb_novice_lightning",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_magic",12047,0,"§7Novice Magic Warlock Orb","ancientspellcraft:warlock_orb_novice_magic",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_necromancy",12071,0,"§5Novice Necromancy Warlock Orb","ancientspellcraft:warlock_orb_novice_necromancy",""
"AncientSpellcraft","ancientspellcraft:warlock_orb_novice_sorcery",12055,0,"§aNovice Sorcery Warlock Orb","ancientspellcraft:warlock_orb_novice_sorcery",""
"AncientSpellcraft","ebwizardry:astral_diamond",5073,0,"Astral Diamond","ancientspellcraft:astral_diamond",""
"AncientSpellcraft","ebwizardry:ethereal_crystalweave",5072,0,"Ethereal Crystalweave","ancientspellcraft:ethereal_crystalweave",""
"AncientSpellcraft","ebwizardry:imbuement_altar",5009,0,"Imbuement Altar","ancientspellcraft:imbuement_altar",""
"AncientSpellcraft","ebwizardry:large_mana_flask",5057,0,"Large Mana Flask","ancientspellcraft:large_mana_flask",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,0,"Magic Crystal","ancientspellcraft:magic_crystal_from_shards",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,1,"Fiery Crystal","ancientspellcraft:magic_crystal_fire",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,2,"Icy Crystal","ancientspellcraft:magic_crystal_ice",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,3,"Stormy Crystal","ancientspellcraft:magic_crystal_lightning",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,4,"Dark Crystal","ancientspellcraft:magic_crystal_necromancy",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,5,"Verdant Crystal","ancientspellcraft:magic_crystal_earth",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,6,"Mystical Crystal","ancientspellcraft:magic_crystal_sorcery",""
"AncientSpellcraft","ebwizardry:magic_crystal",5010,7,"Radiant Crystal","ancientspellcraft:magic_crystal_healing",""
"AncientSpellcraft","ebwizardry:purifying_elixir",5074,0,"Purifying Elixir","ancientspellcraft:purifying_elixir",""
"AncientSpellcraft","ebwizardry:resplendent_thread",5070,0,"Resplendent Thread","ancientspellcraft:resplendent_thread",""
"Aquaculture","aquaculture:neptunium_axe",4105,0,"Neptunium Axe","aquaculture:neptunium_axe",""
"Aquaculture","aquaculture:neptunium_boots",4111,0,"Neptunium Boots","aquaculture:neptunium_boots",""
"Aquaculture","aquaculture:neptunium_chestplate",4109,0,"Neptunium Chestplate","aquaculture:neptunium_chestplate",""
"Aquaculture","aquaculture:neptunium_helmet",4108,0,"Neptunium Helmet","aquaculture:neptunium_helmet",""
"Aquaculture","aquaculture:neptunium_hoe",4106,0,"Neptunium Hoe","aquaculture:neptunium_hoe",""
"Aquaculture","aquaculture:neptunium_leggings",4110,0,"Neptunium Leggings","aquaculture:neptunium_leggings",""
"Aquaculture","aquaculture:neptunium_pickaxe",4103,0,"Neptunium Pickaxe","aquaculture:neptunium_pickaxe",""
"Aquaculture","aquaculture:neptunium_shovel",4104,0,"Neptunium Shovel","aquaculture:neptunium_shovel",""
"Aquaculture","aquaculture:neptunium_sword",4107,0,"Neptunium Sword","aquaculture:neptunium_sword",""
"Aquaculture","minecraft:dye",351,15,"Bone Meal","aquaculture:bonemeal_from_fish_bones","dye,dyeWhite"
"Aquaculture","minecraft:leather",334,0,"Leather","aquaculture:leather_from_boots","leather"
"Aquaculture","minecraft:planks",5,0,"Oak Planks","aquaculture:planks_from_driftwood","plankWood"
"Arcane Essentials","arcane_essentials:master_fire_sword",5292,0,"§4Master Fire Sword","arcane_essentials:master_pyromancy_sword",""
"Arcane Essentials","arcane_essentials:master_healing_sword",5294,0,"§eMaster Healing Sword","arcane_essentials:master_healing_sword",""
"Arcane Essentials","arcane_essentials:master_ice_sword",5293,0,"§bMaster Ice Sword","arcane_essentials:master_cryomancy_sword",""
"Arcane Essentials","arcane_essentials:master_lightning_sword",5289,0,"§3Master Lightning Sword","arcane_essentials:master_lightning_sword",""
"Arcane Essentials","arcane_essentials:master_nature_sword",5291,0,"§2Master Earth Sword","arcane_essentials:master_earth_sword",""
"Arcane Essentials","arcane_essentials:master_necromancy_sword",5295,0,"§5Master Necromancy Sword","arcane_essentials:master_necromancy_sword",""
"Arcane Essentials","arcane_essentials:master_sorcery_sword",5290,0,"§aMaster Sorcery Sword","arcane_essentials:master_sorcery_sword",""
"AstikorCarts","astikorcarts:cargocart",5297,0,"Cart","astikorcarts:cargocart",""
"AstikorCarts","astikorcarts:mobcart",5299,0,"Transportation Cart","astikorcarts:mobcart",""
"AstikorCarts","astikorcarts:plowcart",5298,0,"Plow","astikorcarts:plowcart",""
"AstikorCarts","astikorcarts:wheel",5296,0,"Wheel","astikorcarts:wheel",""
"Beast Slayer","ancientbeasts:bestiary",5703,0,"Beastiarium","ancientbeasts:bestiarium",""
"Beast Slayer","ancientbeasts:cactus_broth",5690,0,"Cactus Broth","ancientbeasts:cactus_broth",""
"Beast Slayer","ancientbeasts:charred_cloak",5701,0,"Charred Cloak","ancientbeasts:charred_cloak",""
"Beast Slayer","ancientbeasts:cursed_door",5773,0,"Weeping Door","ancientbeasts:weeping_door","doorWood"
"Beast Slayer","ancientbeasts:cursed_fence",5771,0,"Weeping Fence","ancientbeasts:weeping_fence","fenceWood"
"Beast Slayer","ancientbeasts:cursed_gate",5772,0,"Weeping Fence Gate","ancientbeasts:weeping_gate","fenceGateWood"
"Beast Slayer","ancientbeasts:cursed_plank",5768,0,"Weeping Planks","ancientbeasts:weeping_planks","plankWood"
"Beast Slayer","ancientbeasts:cursed_slab_half",5770,0,"Weeping Slab","ancientbeasts:weeping_slab","slabWood"
"Beast Slayer","ancientbeasts:cursed_stairs",5769,0,"Weeping Stairs","ancientbeasts:weeping_stairs","stairWood"
"Beast Slayer","ancientbeasts:pokey",5761,0,"Pokey","ancientbeasts:poky",""
"Beast Slayer","ancientbeasts:scale_armor",5753,0,"Desert Robes","ancientbeasts:scale_armor",""
"Beast Slayer","ancientbeasts:scale_hood",5754,0,"Desert Hood","ancientbeasts:scale_hood",""
"Beast Slayer","ancientbeasts:skewer",5762,0,"Skewer","ancientbeasts:skewer",""
"Beast Slayer","ancientbeasts:stick_wall",5765,0,"Block of Sticks","ancientbeasts:stick_wall",""
"Beast Slayer","ancientbeasts:thatch",5766,0,"Thatch","ancientbeasts:thatch",""
"Beast Slayer","ancientbeasts:vessel",5698,0,"Vessel","ancientbeasts:vessel",""
"Better Animals Plus","betteranimalsplus:bear_cape_black",5843,0,"Black Bear Cape","betteranimalsplus:bear_cape_black",""
"Better Animals Plus","betteranimalsplus:bear_cape_brown",5842,0,"Grizzly Bear Cape","betteranimalsplus:bear_cape_brown",""
"Better Animals Plus","betteranimalsplus:bear_cape_kermode",5844,0,"Kermode Bear Cape","betteranimalsplus:bear_cape_kermode",""
"Better Animals Plus","betteranimalsplus:cheese",5853,0,"Cheese Wheel","betteranimalsplus:milk_to_cheese2","foodCheese"
"Better Animals Plus","betteranimalsplus:goatcheese",5824,0,"Goat Cheese Wheel","betteranimalsplus:milk_to_cheese","foodCheese,foodGoatCheese"
"Better Animals Plus","betteranimalsplus:handoffate",5868,0,"Hand Of Fate","betteranimalsplus:handoffate",""
"Better Animals Plus","betteranimalsplus:hirschgeistskull_1",5817,0,"Hirschgeist Skull","betteranimalsplus:wearable_to_placeable",""
"Better Animals Plus","betteranimalsplus:hirschgeistskullwearable",5820,0,"Wearable Hirschgeist Skull","betteranimalsplus:placeable_to_wearable",""
"Better Animals Plus","betteranimalsplus:record_crab_rave",5847,0,"item.null.name","betteranimalsplus:crab_disk",""
"Better Animals Plus","betteranimalsplus:turkey_leg_cooked",5855,0,"Cooked Turkey Leg","betteranimalsplus:turkey_to_leg",""
"Better Animals Plus","betteranimalsplus:turkey_leg_raw",5854,0,"Raw Turkey Leg","betteranimalsplus:turkey_raw_to_leg",""
"Better Animals Plus","betteranimalsplus:wolf_cape_arctic",5836,0,"Arctic Wolf Cape","betteranimalsplus:wolf_cape_arctic",""
"Better Animals Plus","betteranimalsplus:wolf_cape_black",5835,0,"Black Wolf Cape","betteranimalsplus:wolf_cape_black",""
"Better Animals Plus","betteranimalsplus:wolf_cape_brown",5837,0,"Grizzly Wolf Cape","betteranimalsplus:wolf_cape_brown",""
"Better Animals Plus","betteranimalsplus:wolf_cape_classic",5833,0,"Wolf Cape","betteranimalsplus:wolf_cape_classic",""
"Better Animals Plus","betteranimalsplus:wolf_cape_red",5838,0,"Red Wolf Cape","betteranimalsplus:wolf_cape_red",""
"Better Animals Plus","betteranimalsplus:wolf_cape_timber",5834,0,"Timber Wolf Cape","betteranimalsplus:wolf_cape_timber",""
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:bear_skin_black_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:bear_skin_brown_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:bear_skin_kermode_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:wolf_pelt_arctic_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:wolf_pelt_black_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:wolf_pelt_brown_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:wolf_pelt_red_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:wolf_pelt_snowy_leather","leather"
"Better Animals Plus","minecraft:leather",334,0,"Leather","betteranimalsplus:wolf_pelt_timber_leather","leather"
"Better Animals Plus","minecraft:torch",50,0,"Torch","betteranimalsplus:blubber_torch","torch"
"Better Animals Plus","minecraft:wool",35,0,"White Wool","betteranimalsplus:bear_skin_kermode_wool","blockWoolWhite,wool,woolBlock,woolWhite"
"Better Animals Plus","minecraft:wool",35,0,"White Wool","betteranimalsplus:wolf_pelt_arctic_wool","blockWoolWhite,wool,woolBlock,woolWhite"
