"Mod name","Registry name","Hardness","Resistance"
"Ancient Warfare Structures","ancientwarfarestructure:goblin_totem_2",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:goblin_totem_2_lit",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:golden_idol",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:golden_throne",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:gravestone",4.00,20.00
"Ancient Warfare Structures","ancientwarfarestructure:iron_cage",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:loot_basket",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:orc_totem_1",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:orc_totem_2",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:orc_totem_2_lit",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:protection_flag",2.00,18000000.00
"Ancient Warfare Structures","ancientwarfarestructure:scissor_seat",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:sound_block",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:stake",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:statue",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:stone_coffin",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:stool",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:stretching_rack",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:structure_builder_ticked",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:structure_scanner_block",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:table",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:totem_part",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:tribal_chair",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:tribal_stool",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:urn",0.40,10.00
"Ancient Warfare Structures","ancientwarfarestructure:wooden_coffin",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:wooden_post",2.00,10.00
"Ancient Warfare Structures","ancientwarfarestructure:wooden_throne",2.00,10.00
"AncientSpellcraft","ancientspellcraft:arcane_anvil",3.00,15.00
"AncientSpellcraft","ancientspellcraft:arcane_flame",0.00,0.00
"AncientSpellcraft","ancientspellcraft:arcane_wall",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:artefact_pensive",0.50,2.50
"AncientSpellcraft","ancientspellcraft:astral_diamond_ore",3.00,15.00
"AncientSpellcraft","ancientspellcraft:candlelight",0.00,0.00
"AncientSpellcraft","ancientspellcraft:concealed_block",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:conjured_dirt",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:conjured_magma",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:conjured_snow",0.50,2.50
"AncientSpellcraft","ancientspellcraft:crystal_mine",0.00,0.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_earth",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_fire",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_healing",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_ice",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_lightning",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_necromancy",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_ore_sorcery",3.00,15.00
"AncientSpellcraft","ancientspellcraft:crystal_silver_ore",3.00,15.00
"AncientSpellcraft","ancientspellcraft:devoritium_bars",5.00,18.00
"AncientSpellcraft","ancientspellcraft:devoritium_block",5.00,18.00
"AncientSpellcraft","ancientspellcraft:devoritium_door",5.00,18.00
"AncientSpellcraft","ancientspellcraft:devoritium_gilded_stone",5.00,18.00
"AncientSpellcraft","ancientspellcraft:devoritium_ore",5.00,18.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_earth",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_fire",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_healing",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_ice",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_lightning",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_magic",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_necromancy",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_boundary_sorcery",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:dimension_focus",-1.00,18000004.00
"AncientSpellcraft","ancientspellcraft:dimension_focus_gold",-1.00,18000004.00
"AncientSpellcraft","ancientspellcraft:hard_frosted_ice",50.00,6000.00
"AncientSpellcraft","ancientspellcraft:ice_crafting_table",1.00,5.00
"AncientSpellcraft","ancientspellcraft:ice_door",0.00,0.00
"AncientSpellcraft","ancientspellcraft:imbuement_altar_ruined",3.00,15.00
"AncientSpellcraft","ancientspellcraft:leaves_crystal_tree",0.20,1.00
"AncientSpellcraft","ancientspellcraft:lightning_block",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:log_crystal_tree",2.00,10.00
"AncientSpellcraft","ancientspellcraft:magelight",0.00,0.00
"AncientSpellcraft","ancientspellcraft:master_bolt",0.10,0.50
"AncientSpellcraft","ancientspellcraft:mushroom_cleansing",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_empowering",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_explosive",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_fire",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_force",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_healing",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_ice",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_mind",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_poison",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_shocking",4.00,20.00
"AncientSpellcraft","ancientspellcraft:mushroom_wither",4.00,20.00
"AncientSpellcraft","ancientspellcraft:nether_fire",0.00,0.00
"AncientSpellcraft","ancientspellcraft:placed_rune",50.00,6000.00
"AncientSpellcraft","ancientspellcraft:quicksand",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:rune_used",0.00,0.00
"AncientSpellcraft","ancientspellcraft:sage_flax",0.00,0.00
"AncientSpellcraft","ancientspellcraft:sage_flax_day",0.00,0.00
"AncientSpellcraft","ancientspellcraft:sage_lectern",2.00,15.00
"AncientSpellcraft","ancientspellcraft:scribing_desk",2.00,15.00
"AncientSpellcraft","ancientspellcraft:sealed_stone",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:sentinel_block_diamond",10.50,52.50
"AncientSpellcraft","ancientspellcraft:sentinel_block_gold",10.50,52.50
"AncientSpellcraft","ancientspellcraft:sentinel_block_iron",10.50,52.50
"AncientSpellcraft","ancientspellcraft:sentinel_block_large_diamond",10.50,52.50
"AncientSpellcraft","ancientspellcraft:sentinel_block_large_gold",10.50,52.50
"AncientSpellcraft","ancientspellcraft:sentinel_block_large_iron",10.50,52.50
"AncientSpellcraft","ancientspellcraft:skull_watch",1.00,5.00
"AncientSpellcraft","ancientspellcraft:snow_double_slab",0.00,0.00
"AncientSpellcraft","ancientspellcraft:snow_slab",0.00,0.00
"AncientSpellcraft","ancientspellcraft:sphere_cognizance",0.50,2.50
"AncientSpellcraft","ancientspellcraft:teleportation_flame",1.00,5.00
"AncientSpellcraft","ancientspellcraft:unseal_button",-1.00,18000000.00
"AncientSpellcraft","ancientspellcraft:unsealed_stone",3.00,15.00
"AncientSpellcraft","ancientspellcraft:wildfire_flame",0.00,0.00
"Beast Slayer","ancientbeasts:cursed_door",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_fence",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_gate",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_leaves",0.20,1.00
"Beast Slayer","ancientbeasts:cursed_log",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_plank",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_sapling",0.00,0.00
"Beast Slayer","ancientbeasts:cursed_slab_double",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_slab_half",2.00,10.00
"Beast Slayer","ancientbeasts:cursed_stairs",2.00,10.00
"Beast Slayer","ancientbeasts:green_torch",0.00,0.00
"Beast Slayer","ancientbeasts:hanging_leaves",0.40,2.00
"Beast Slayer","ancientbeasts:moving_light_source",0.00,0.00
"Beast Slayer","ancientbeasts:pokey",3.50,17.50
"Beast Slayer","ancientbeasts:skewer",3.50,17.50
"Beast Slayer","ancientbeasts:spiky",-1.00,17.50
"Beast Slayer","ancientbeasts:stick_wall",1.00,5.00
"Beast Slayer","ancientbeasts:thatch",0.80,4.00
"Better Animals Plus","betteranimalsplus:bearhead",0.00,0.00
"Better Animals Plus","betteranimalsplus:bearhead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:bearhead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:bearhead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:boarhead",0.00,0.00
"Better Animals Plus","betteranimalsplus:boarhead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:boarhead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:boarhead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:boarhead_4",0.80,4.00
"Better Animals Plus","betteranimalsplus:coyotehead",0.00,0.00
"Better Animals Plus","betteranimalsplus:coyotehead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:deerhead",0.00,0.00
"Better Animals Plus","betteranimalsplus:deerhead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:deerhead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:deerhead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:deerhead_4",0.80,4.00
"Better Animals Plus","betteranimalsplus:foxhead",0.00,0.00
"Better Animals Plus","betteranimalsplus:foxhead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:foxhead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:foxhead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:foxhead_4",0.80,4.00
"Better Animals Plus","betteranimalsplus:handoffate",3.00,15.00
"Better Animals Plus","betteranimalsplus:hirschgeistskull",0.00,0.00
"Better Animals Plus","betteranimalsplus:hirschgeistskull_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:moosehead",0.00,0.00
"Better Animals Plus","betteranimalsplus:moosehead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:moosehead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:moosehead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:moosehead_4",0.80,4.00
"Better Animals Plus","betteranimalsplus:reindeerhead",0.00,0.00
"Better Animals Plus","betteranimalsplus:reindeerhead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:reindeerhead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:reindeerhead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:reindeerhead_4",0.80,4.00
"Better Animals Plus","betteranimalsplus:trillium",0.00,0.00
"Better Animals Plus","betteranimalsplus:turkey_cooked",0.00,0.00
"Better Animals Plus","betteranimalsplus:turkey_eaten_cooked",0.00,0.00
"Better Animals Plus","betteranimalsplus:turkey_eaten_raw",0.00,0.00
"Better Animals Plus","betteranimalsplus:turkey_raw",0.00,0.00
"Better Animals Plus","betteranimalsplus:wolfhead",0.00,0.00
"Better Animals Plus","betteranimalsplus:wolfhead_1",0.80,4.00
"Better Animals Plus","betteranimalsplus:wolfhead_2",0.80,4.00
"Better Animals Plus","betteranimalsplus:wolfhead_3",0.80,4.00
"Better Animals Plus","betteranimalsplus:wolfhead_4",0.80,4.00
"Better Animals Plus","betteranimalsplus:wolfhead_5",0.80,4.00
"Better Animals Plus","betteranimalsplus:wolfhead_6",0.80,4.00
"Better End","betterendforge:aeridium",0.00,0.00
"Better End","betterendforge:aeternium_block",65.00,3600.00
"Better End","betterendforge:amaranita_cap",0.00,0.00
"Better End","betterendforge:amaranita_fur",0.00,0.00
"Better End","betterendforge:amaranita_hymenophore",0.00,0.00
"Better End","betterendforge:amaranita_hyphae",2.00,9.00
"Better End","betterendforge:amaranita_lantern",0.00,0.00
"Better End","betterendforge:amaranita_stem",2.00,9.00
"Better End","betterendforge:amber_block",5.00,18.00
"Better End","betterendforge:amber_grass",0.00,0.00
"Better End","betterendforge:amber_moss",3.00,27.00
"Better End","betterendforge:amber_moss_path",3.00,16.20
"Better End","betterendforge:amber_ore",3.00,27.00
"Better End","betterendforge:amber_root_seed",0.00,0.00
"Better End","betterendforge:ancient_emerald_ice",50.00,250.00
"Better End","betterendforge:andesite_lantern",3.00,15.00
"Better End","betterendforge:andesite_pedestal",0.00,0.00
"Better End","betterendforge:aurant_polypore",0.20,0.60
"Better End","betterendforge:aurora_crystal",1.00,3.00
"Better End","betterendforge:azure_jadestone",3.00,27.00
"Better End","betterendforge:azure_jadestone_bricks",3.00,27.00
"Better End","betterendforge:azure_jadestone_bricks_slab",3.00,27.00
"Better End","betterendforge:azure_jadestone_bricks_stairs",3.00,27.00
"Better End","betterendforge:azure_jadestone_bricks_wall",3.00,27.00
"Better End","betterendforge:azure_jadestone_furnace",0.00,0.00
"Better End","betterendforge:azure_jadestone_lantern",3.00,27.00
"Better End","betterendforge:azure_jadestone_pedestal",3.00,27.00
"Better End","betterendforge:azure_jadestone_pillar",3.00,27.00
"Better End","betterendforge:azure_jadestone_polished",3.00,27.00
"Better End","betterendforge:azure_jadestone_pressure_plate",3.00,27.00
"Better End","betterendforge:azure_jadestone_slab",3.00,27.00
"Better End","betterendforge:azure_jadestone_stairs",3.00,27.00
"Better End","betterendforge:azure_jadestone_tiles",3.00,27.00
"Better End","betterendforge:azure_jadestone_wall",3.00,27.00
"Better End","betterendforge:blackstone_lantern",3.00,15.00
"Better End","betterendforge:blooming_cooksonia",0.00,0.00
"Better End","betterendforge:blossom_berry_seed",0.00,0.00
"Better End","betterendforge:blue_vine",0.00,0.00
"Better End","betterendforge:blue_vine_fur",0.00,0.00
"Better End","betterendforge:blue_vine_lantern",0.00,0.00
"Better End","betterendforge:blue_vine_seed",0.00,0.00
"Better End","betterendforge:bolux_mushroom",0.00,0.00
"Better End","betterendforge:brimstone",3.00,27.00
"Better End","betterendforge:bubble_coral",0.00,0.00
"Better End","betterendforge:bulb_moss",0.00,0.00
"Better End","betterendforge:bulb_vine",0.00,0.00
"Better End","betterendforge:bulb_vine_seed",0.00,0.00
"Better End","betterendforge:bushy_grass",0.00,0.00
"Better End","betterendforge:cave_bush",0.20,0.60
"Better End","betterendforge:cave_grass",0.00,0.00
"Better End","betterendforge:cave_moss",3.00,27.00
"Better End","betterendforge:cave_moss_path",3.00,16.20
"Better End","betterendforge:charcoal_block",3.00,15.00
"Better End","betterendforge:charnia_cyan",0.00,0.00
"Better End","betterendforge:charnia_green",0.00,0.00
"Better End","betterendforge:charnia_light_blue",0.00,0.00
"Better End","betterendforge:charnia_orange",0.00,0.00
"Better End","betterendforge:charnia_purple",0.00,0.00
"Better End","betterendforge:charnia_red",0.00,0.00
"Better End","betterendforge:chorus_grass",0.00,0.00
"Better End","betterendforge:chorus_mushroom_seed",0.00,0.00
"Better End","betterendforge:chorus_nylium",3.00,27.00
"Better End","betterendforge:chorus_nylium_path",3.00,16.20
"Better End","betterendforge:clawfern",0.00,0.00
"Better End","betterendforge:creeping_moss",0.00,0.00
"Better End","betterendforge:crystal_grass",0.00,0.00
"Better End","betterendforge:crystal_moss",3.00,27.00
"Better End","betterendforge:crystal_moss_path",3.00,16.20
"Better End","betterendforge:cyan_moss",0.00,0.00
"Better End","betterendforge:dense_emerald_ice",0.50,2.50
"Better End","betterendforge:dense_snow",0.20,0.60
"Better End","betterendforge:dense_vine",0.00,0.00
"Better End","betterendforge:diorite_lantern",3.00,15.00
"Better End","betterendforge:diorite_pedestal",0.00,0.00
"Better End","betterendforge:dragon_bone_block",2.00,6.00
"Better End","betterendforge:dragon_bone_slab",2.00,6.00
"Better End","betterendforge:dragon_bone_stairs",2.00,6.00
"Better End","betterendforge:dragon_tree_bark",2.00,10.00
"Better End","betterendforge:dragon_tree_bookshelf",2.00,10.00
"Better End","betterendforge:dragon_tree_chest",2.00,10.00
"Better End","betterendforge:dragon_tree_crafting_table",2.00,10.00
"Better End","betterendforge:dragon_tree_door",3.00,15.00
"Better End","betterendforge:dragon_tree_fence",2.00,10.00
"Better End","betterendforge:dragon_tree_ladder",2.00,10.00
"Better End","betterendforge:dragon_tree_leaves",0.20,0.60
"Better End","betterendforge:dragon_tree_log",2.00,10.00
"Better End","betterendforge:dragon_tree_planks",2.00,10.00
"Better End","betterendforge:dragon_tree_pressure_plate",2.00,10.00
"Better End","betterendforge:dragon_tree_sapling",0.00,0.00
"Better End","betterendforge:dragon_tree_sign_standing",2.00,10.00
"Better End","betterendforge:dragon_tree_sign_wall",2.00,10.00
"Better End","betterendforge:dragon_tree_slab",2.00,10.00
"Better End","betterendforge:dragon_tree_stairs",2.00,10.00
"Better End","betterendforge:dragon_tree_stripped_bark",2.00,10.00
"Better End","betterendforge:dragon_tree_stripped_log",2.00,10.00
"Better End","betterendforge:dragon_tree_trapdoor",2.00,15.00
"Better End","betterendforge:emerald_ice",0.50,2.50
"Better End","betterendforge:end_lily",0.00,0.00
"Better End","betterendforge:end_lily_seed",0.00,0.00
"Better End","betterendforge:end_lotus_bark",2.00,10.00
"Better End","betterendforge:end_lotus_bookshelf",2.00,10.00
"Better End","betterendforge:end_lotus_chest",2.00,10.00
"Better End","betterendforge:end_lotus_crafting_table",2.00,10.00
"Better End","betterendforge:end_lotus_door",3.00,15.00
"Better End","betterendforge:end_lotus_fence",2.00,10.00
"Better End","betterendforge:end_lotus_flower",0.00,0.00
"Better End","betterendforge:end_lotus_ladder",2.00,10.00
"Better End","betterendforge:end_lotus_leaf",0.00,0.00
"Better End","betterendforge:end_lotus_log",2.00,10.00
"Better End","betterendforge:end_lotus_planks",2.00,10.00
"Better End","betterendforge:end_lotus_pressure_plate",2.00,10.00
"Better End","betterendforge:end_lotus_seed",0.00,0.00
"Better End","betterendforge:end_lotus_sign_standing",2.00,10.00
"Better End","betterendforge:end_lotus_sign_wall",2.00,10.00
"Better End","betterendforge:end_lotus_slab",2.00,10.00
"Better End","betterendforge:end_lotus_stairs",2.00,10.00
"Better End","betterendforge:end_lotus_stem",2.00,15.00
"Better End","betterendforge:end_lotus_stripped_bark",2.00,10.00
"Better End","betterendforge:end_lotus_stripped_log",2.00,10.00
"Better End","betterendforge:end_lotus_trapdoor",2.00,15.00
"Better End","betterendforge:end_moss",3.00,27.00
"Better End","betterendforge:end_moss_path",3.00,16.20
"Better End","betterendforge:end_mycelium",3.00,27.00
"Better End","betterendforge:end_mycelium_path",3.00,16.20
"Better End","betterendforge:end_portal_block",-1.00,-3.00
"Better End","betterendforge:end_stone_furnace",3.00,45.00
"Better End","betterendforge:end_stone_furnace_lit",3.00,45.00
"Better End","betterendforge:end_stone_lantern",3.00,15.00
"Better End","betterendforge:end_stone_smelter",4.00,300.00
"Better End","betterendforge:end_stone_stalactite",3.00,45.00
"Better End","betterendforge:end_stone_stalactite_cavemoss",3.00,27.00
"Better End","betterendforge:ender_block",5.00,18.00
"Better End","betterendforge:ender_ore",3.00,27.00
"Better End","betterendforge:endstone_dust",0.50,1.50
"Better End","betterendforge:eternal_pedestal",-1.00,10800000.00
"Better End","betterendforge:filalux",0.00,0.00
"Better End","betterendforge:filalux_lantern",0.00,0.00
"Better End","betterendforge:filalux_wings",0.00,0.00
"Better End","betterendforge:flamaea",0.00,0.00
"Better End","betterendforge:flammalix",0.00,0.00
"Better End","betterendforge:flavolite",3.00,27.00
"Better End","betterendforge:flavolite_bricks",3.00,27.00
"Better End","betterendforge:flavolite_bricks_slab",3.00,27.00
"Better End","betterendforge:flavolite_bricks_stairs",3.00,27.00
"Better End","betterendforge:flavolite_bricks_wall",3.00,27.00
"Better End","betterendforge:flavolite_furnace",0.00,0.00
"Better End","betterendforge:flavolite_lantern",3.00,27.00
"Better End","betterendforge:flavolite_pedestal",3.00,27.00
"Better End","betterendforge:flavolite_pillar",3.00,27.00
"Better End","betterendforge:flavolite_polished",3.00,27.00
"Better End","betterendforge:flavolite_pressure_plate",3.00,27.00
"Better End","betterendforge:flavolite_runed",3.00,6000.00
"Better End","betterendforge:flavolite_runed_eternal",-1.00,10800000.00
"Better End","betterendforge:flavolite_slab",3.00,27.00
"Better End","betterendforge:flavolite_stairs",3.00,27.00
"Better End","betterendforge:flavolite_tiles",3.00,27.00
"Better End","betterendforge:flavolite_wall",3.00,27.00
"Better End","betterendforge:fracturn",0.00,0.00
"Better End","betterendforge:globulagus",0.00,0.00
"Better End","betterendforge:glowing_pillar_leaves",0.00,0.00
"Better End","betterendforge:glowing_pillar_luminophor",0.20,0.60
"Better End","betterendforge:glowing_pillar_roots",0.00,0.00
"Better End","betterendforge:glowing_pillar_seed",0.00,0.00
"Better End","betterendforge:gold_chandelier",0.00,0.00
"Better End","betterendforge:granite_lantern",3.00,15.00
"Better End","betterendforge:granite_pedestal",0.00,0.00
"Better End","betterendforge:helix_tree_bark",2.00,10.00
"Better End","betterendforge:helix_tree_bookshelf",2.00,10.00
"Better End","betterendforge:helix_tree_chest",2.00,10.00
"Better End","betterendforge:helix_tree_crafting_table",2.00,10.00
"Better End","betterendforge:helix_tree_door",3.00,15.00
"Better End","betterendforge:helix_tree_fence",2.00,10.00
"Better End","betterendforge:helix_tree_ladder",2.00,10.00
"Better End","betterendforge:helix_tree_leaves",0.20,0.60
"Better End","betterendforge:helix_tree_log",2.00,10.00
"Better End","betterendforge:helix_tree_planks",2.00,10.00
"Better End","betterendforge:helix_tree_pressure_plate",2.00,10.00
"Better End","betterendforge:helix_tree_sapling",0.00,0.00
"Better End","betterendforge:helix_tree_sign_standing",2.00,10.00
"Better End","betterendforge:helix_tree_sign_wall",2.00,10.00
"Better End","betterendforge:helix_tree_slab",2.00,10.00
"Better End","betterendforge:helix_tree_stairs",2.00,10.00
"Better End","betterendforge:helix_tree_stripped_bark",2.00,10.00
"Better End","betterendforge:helix_tree_stripped_log",2.00,10.00
"Better End","betterendforge:helix_tree_trapdoor",2.00,15.00
"Better End","betterendforge:hydralux",0.00,0.00
"Better End","betterendforge:hydralux_petal_block",1.00,3.00
"Better End","betterendforge:hydralux_petal_block_black",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_blue",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_brown",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_cyan",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_gray",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_green",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_light_blue",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_lime",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_magenta",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_orange",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_pink",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_purple",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_red",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_silver",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_white",1.00,5.00
"Better End","betterendforge:hydralux_petal_block_yellow",1.00,5.00
