"ID","Registry name","Biome name","temp.","temp cat","rain","snow","oceanic","BiomeType","BiomeDictionary.Type","Valid for"
27,"minecraft:birch_forest","Birch Forest",0.60,"MEDIUM",0.60,"false","false","WARM","FOREST","stronghold, village"
28,"minecraft:birch_forest_hills","Birch Forest Hills",0.60,"MEDIUM",0.60,"false","false","","FOREST, HILLS","stronghold"
29,"minecraft:roofed_forest","Roofed Forest",0.70,"MEDIUM",0.80,"false","false","WARM","DENSE, FOREST, SPOOKY","stronghold, village"
30,"minecraft:taiga_cold","Cold Taiga",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS, FOREST, SNOWY","stronghold"
31,"minecraft:taiga_cold_hills","Cold Taiga Hills",-0.50,"COLD",0.40,"true","false","","COLD, CONIFEROUS, FOREST, HILLS, SNOWY","stronghold"
32,"minecraft:redwood_taiga","Mega Taiga",0.30,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST","stronghold"
33,"minecraft:redwood_taiga_hills","Mega Taiga Hills",0.30,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST, HILLS","stronghold"
34,"minecraft:extreme_hills_with_trees","Extreme Hills+",0.24,"MEDIUM",0.30,"false","false","","FOREST, MOUNTAIN, SPARSE","stronghold"
35,"minecraft:savanna","Savanna",1.20,"WARM",0.00,"false","false","","HOT, PLAINS, SAVANNA, SPARSE","stronghold, village"
36,"minecraft:savanna_rock","Savanna Plateau",1.00,"WARM",0.00,"false","false","","HOT, PLAINS, RARE, SAVANNA, SPARSE","stronghold"
37,"minecraft:mesa","Mesa",2.00,"WARM",0.00,"false","false","","DRY, MESA, SANDY","stronghold, village"
38,"minecraft:mesa_rock","Mesa Plateau F",2.00,"WARM",0.00,"false","false","","DRY, MESA, SANDY, SPARSE","stronghold"
39,"minecraft:mesa_clear_rock","Mesa Plateau",2.00,"WARM",0.00,"false","false","","DRY, MESA, SANDY","stronghold"
40,"biomesoplenty:gravel_beach","Gravel Beach",0.60,"MEDIUM",0.50,"false","false","","BEACH",""
41,"biomesoplenty:white_beach","White Beach",1.00,"WARM",0.95,"false","false","","BEACH",""
42,"biomesoplenty:origin_beach","Origin Beach",0.60,"MEDIUM",0.60,"false","false","","BEACH, RARE",""
43,"biomesoplenty:alps","Alps",-0.25,"COLD",0.30,"true","false","","COLD, DRY, MOUNTAIN, SNOWY","stronghold"
44,"biomesoplenty:bamboo_forest","Bamboo Forest",0.90,"MEDIUM",0.85,"false","false","","DENSE, FOREST, JUNGLE, WET","spawn, stronghold"
45,"biomesoplenty:bayou","Bayou",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, SWAMP, WET",""
46,"biomesoplenty:bog","Bog",0.50,"MEDIUM",0.90,"false","false","","COLD, FOREST, SWAMP, WET","spawn"
47,"biomesoplenty:boreal_forest","Boreal Forest",0.30,"MEDIUM",0.60,"false","false","","COLD, CONIFEROUS, DENSE, FOREST, HILLS","spawn, stronghold"
48,"biomesoplenty:brushland","Brushland",1.50,"WARM",0.10,"false","false","","DRY, HOT, SAVANNA, SPARSE","spawn, stronghold, village"
49,"biomesoplenty:chaparral","Chaparral",0.80,"MEDIUM",0.40,"false","false","","DRY, PLAINS","spawn, stronghold, village"
50,"biomesoplenty:cherry_blossom_grove","Cherry Blossom Grove",0.55,"MEDIUM",0.80,"false","false","","DENSE, FOREST, LUSH, MAGICAL, WET",""
51,"biomesoplenty:cold_desert","Cold Desert",0.20,"MEDIUM",0.00,"false","false","","COLD, DRY, SNOWY",""
52,"biomesoplenty:coniferous_forest","Coniferous Forest",0.45,"MEDIUM",0.50,"false","false","","COLD, CONIFEROUS, DENSE, FOREST","spawn, stronghold, village"
53,"biomesoplenty:crag","Crag",0.50,"MEDIUM",0.50,"false","false","","COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND","stronghold"
54,"biomesoplenty:dead_forest","Dead Forest",0.30,"MEDIUM",0.30,"false","false","","COLD, DEAD, DRY, FOREST, SPARSE","stronghold"
55,"biomesoplenty:dead_swamp","Dead Swamp",0.60,"MEDIUM",0.90,"false","false","","COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET",""
56,"biomesoplenty:eucalyptus_forest","Eucalyptus Forest",0.95,"MEDIUM",0.90,"false","false","","DENSE, FOREST, JUNGLE, LUSH, WET","spawn"
57,"biomesoplenty:fen","Fen",0.40,"MEDIUM",0.40,"false","false","","COLD, DEAD, DENSE, FOREST, SWAMP, WET",""
58,"biomesoplenty:flower_field","Flower Field",0.70,"MEDIUM",0.70,"false","false","","LUSH, PLAINS","spawn"
59,"biomesoplenty:grassland","Grassland",0.60,"MEDIUM",0.70,"false","false","","HILLS, PLAINS, WET","spawn, village"
60,"biomesoplenty:grove","Grove",0.60,"MEDIUM",0.80,"false","false","","FOREST, LUSH, PLAINS, SPARSE, WET","spawn, stronghold, village"
61,"biomesoplenty:highland","Highland",0.60,"MEDIUM",0.80,"false","false","","HILLS, MOUNTAIN, WET","spawn, stronghold"
62,"biomesoplenty:land_of_lakes","Land of Lakes",0.50,"MEDIUM",0.90,"false","false","","DENSE, FOREST, SWAMP, WET","spawn"
63,"biomesoplenty:lavender_fields","Lavender Fields",0.70,"MEDIUM",0.70,"false","false","","LUSH, MAGICAL, PLAINS",""
64,"biomesoplenty:lush_desert","Lush Desert",1.20,"WARM",0.40,"false","false","","DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE","village"
65,"biomesoplenty:lush_swamp","Lush Swamp",0.70,"MEDIUM",1.00,"false","false","","DENSE, LUSH, SWAMP, WET","spawn"
66,"biomesoplenty:mangrove","Mangrove",0.85,"MEDIUM",0.30,"false","false","","DENSE, LUSH, SWAMP, WATER, WET",""
67,"biomesoplenty:maple_woods","Maple Woods",0.25,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, DENSE, FOREST","spawn, stronghold"
68,"biomesoplenty:marsh","Marsh",0.60,"MEDIUM",0.80,"false","false","","LUSH, WET",""
69,"biomesoplenty:meadow","Meadow",0.40,"MEDIUM",0.70,"false","false","","COLD, FOREST, LUSH, PLAINS, SPARSE, WET","spawn, village"
70,"biomesoplenty:moor","Moor",0.60,"MEDIUM",1.00,"false","false","","HILLS, SWAMP, WET","stronghold"
71,"biomesoplenty:mountain","Mountain",0.50,"MEDIUM",0.10,"false","false","","DRY, FOREST, MOUNTAIN, SPARSE","stronghold"
72,"biomesoplenty:mystic_grove","Mystic Grove",0.70,"MEDIUM",0.80,"false","false","","DENSE, FOREST, LUSH, MAGICAL, RARE, WET",""
73,"biomesoplenty:ominous_woods","Ominous Woods",0.60,"MEDIUM",0.60,"false","false","","DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET","stronghold"
74,"biomesoplenty:orchard","Orchard",0.70,"MEDIUM",0.70,"false","false","","DENSE, FOREST, LUSH, PLAINS","spawn, village"
75,"biomesoplenty:outback","Outback",2.00,"WARM",0.05,"false","false","","DRY, HOT, SANDY, SAVANNA, SPARSE","spawn, stronghold, village"
76,"biomesoplenty:overgrown_cliffs","Overgrown Cliffs",0.95,"MEDIUM",0.75,"false","false","","DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET","stronghold"
77,"biomesoplenty:prairie","Prairie",0.80,"MEDIUM",0.30,"false","false","","DRY, PLAINS, SPARSE","spawn, village"
78,"biomesoplenty:quagmire","Quagmire",0.60,"MEDIUM",0.90,"false","false","","DEAD, SWAMP, WASTELAND, WET",""
79,"biomesoplenty:rainforest","Rainforest",0.95,"MEDIUM",1.20,"false","false","","DENSE, FOREST, HILLS, JUNGLE, LUSH, WET","stronghold"
80,"biomesoplenty:redwood_forest","RedwoodForest",0.70,"MEDIUM",0.70,"false","false","","DENSE, FOREST","stronghold"
81,"biomesoplenty:sacred_springs","Sacred Springs",0.85,"MEDIUM",0.90,"false","false","","DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET",""
82,"biomesoplenty:seasonal_forest","Seasonal Forest",0.40,"MEDIUM",0.80,"false","false","","COLD, DENSE, FOREST","spawn, stronghold, village"
83,"biomesoplenty:shield","Shield",0.40,"MEDIUM",0.80,"false","false","","COLD, DENSE, FOREST, WET","spawn"
84,"biomesoplenty:shrubland","Shrubland",0.60,"MEDIUM",0.05,"false","false","","DRY, PLAINS, SPARSE","spawn, stronghold, village"
85,"biomesoplenty:snowy_coniferous_forest","Snowy Coniferous Forest",-0.25,"COLD",0.50,"true","false","","COLD, CONIFEROUS, DENSE, FOREST, SNOWY","spawn, stronghold"
86,"biomesoplenty:snowy_forest","Snowy Forest",-0.25,"COLD",0.50,"true","false","","COLD, FOREST, SNOWY, SPARSE, WET","spawn, stronghold"
87,"biomesoplenty:steppe","Steppe",0.75,"MEDIUM",0.10,"false","false","","DRY, PLAINS, SANDY","stronghold, village"
88,"biomesoplenty:temperate_rainforest","Temperate Rainforest",0.75,"MEDIUM",1.20,"false","false","","DENSE, FOREST, LUSH, WET","spawn, stronghold"
89,"biomesoplenty:tropical_rainforest","Tropical Rainforest",1.00,"WARM",1.00,"false","false","","DENSE, HOT, JUNGLE, LUSH, WET","stronghold"
90,"biomesoplenty:tundra","Tundra",0.20,"MEDIUM",0.50,"false","false","","COLD, DEAD, SPARSE, WASTELAND, WET",""
91,"biomesoplenty:wasteland","Wasteland",2.00,"WARM",0.00,"false","false","","DEAD, DRY, SPARSE, WASTELAND","stronghold"
92,"biomesoplenty:wetland","Wetland",0.60,"MEDIUM",0.70,"false","false","","DENSE, FOREST, LUSH, SWAMP, WET","spawn"
93,"biomesoplenty:woodland","Woodland",0.70,"MEDIUM",0.50,"false","false","","DENSE, DRY, FOREST","spawn, village"
94,"biomesoplenty:xeric_shrubland","Xeric Shrubland",1.75,"WARM",0.10,"false","false","","DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE","village"
95,"biomesoplenty:alps_foothills","AlpsFoothills",-0.25,"COLD",0.30,"true","false","","COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE","stronghold"
96,"biomesoplenty:mountain_foothills","MountainFoothills",0.50,"MEDIUM",0.10,"false","false","","DRY, FOREST, HILLS, MOUNTAIN, SPARSE","stronghold"
97,"biomesoplenty:redwood_forest_edge","RedwoodForestEdge",0.70,"MEDIUM",0.70,"false","false","","DENSE, FOREST","stronghold"
98,"biomesoplenty:pasture","Pasture",0.80,"MEDIUM",0.30,"false","false","","DRY, PLAINS, SPARSE","spawn"
99,"biomesoplenty:glacier","Glacier",-0.50,"COLD",0.20,"false","false","","COLD, SNOWY, WASTELAND","stronghold"
100,"biomesoplenty:oasis","Oasis",2.00,"WARM",0.50,"false","false","","HOT, JUNGLE, LUSH, SANDY, SPARSE, WET",""
101,"biomesoplenty:snowy_tundra","SnowyTundra",0.00,"COLD",0.50,"false","false","","COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET",""
102,"biomesoplenty:coral_reef","Coral Reef",0.50,"MEDIUM",0.50,"false","false","","OCEAN, WATER",""
103,"biomesoplenty:kelp_forest","Kelp Forest",0.50,"MEDIUM",0.50,"false","false","","OCEAN, WATER",""
104,"biomesoplenty:origin_island","Origin Island",0.60,"MEDIUM",0.60,"false","false","","FOREST, RARE, WATER","spawn"
105,"biomesoplenty:tropical_island","Tropical Island",0.95,"MEDIUM",1.00,"false","false","","DENSE, JUNGLE, LUSH, WATER, WET","spawn"
106,"biomesoplenty:volcanic_island","Volcanic Island",1.20,"WARM",0.20,"false","false","","DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER","stronghold"
107,"biomesoplenty:flower_island","Flower Island",0.80,"MEDIUM",0.80,"false","false","","DENSE, LUSH, MAGICAL, PLAINS, WATER","stronghold"
108,"biomesoplenty:corrupted_sands","Corrupted Sands",2.00,"WARM",0.00,"false","false","","DENSE, DRY, HOT, NETHER, SANDY","stronghold"
109,"biomesoplenty:fungi_forest","Fungi Forest",2.00,"WARM",0.00,"false","false","","DENSE, HOT, MUSHROOM, NETHER","stronghold"
110,"biomesoplenty:phantasmagoric_inferno","Phantasmagoric Inferno",2.00,"WARM",0.00,"false","false","","DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND","stronghold"
111,"biomesoplenty:undergarden","Undergarden",2.00,"WARM",0.00,"false","false","","HOT, LUSH, NETHER","stronghold"
112,"biomesoplenty:visceral_heap","Visceral Heap",2.00,"WARM",0.00,"false","false","","HOT, NETHER, WET","stronghold"
113,"pvj:prairie","Prairie",0.80,"MEDIUM",0.25,"false","false","WARM","PLAINS","spawn, stronghold, village"
114,"pvj:redwoods","Redwoods",0.45,"MEDIUM",0.60,"false","false","COOL","CONIFEROUS, FOREST","spawn, stronghold"
115,"pvj:redwood_peaks","Redwood Peaks",0.45,"MEDIUM",0.55,"false","false","COOL","CONIFEROUS, FOREST, MOUNTAIN","spawn, stronghold"
116,"pvj:willow_swamp","Willow Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","LUSH, SWAMP, WET","spawn"
117,"pvj:boreal_forest","Boreal Forest",0.25,"MEDIUM",0.80,"false","false","COOL","COLD, CONIFEROUS, FOREST","spawn, stronghold"
118,"pvj:snowy_boreal_forest","Snowy Boreal Forest",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS, FOREST, SNOWY","spawn, stronghold"
119,"pvj:aspen_grove","Aspen Grove",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST","spawn, stronghold"
120,"pvj:overgrown_spires","Overgrown Spires",0.95,"MEDIUM",0.90,"false","false","WARM","FOREST, JUNGLE","spawn, stronghold"
121,"pvj:blossoming_fields","Blossoming Fields",0.50,"MEDIUM",0.55,"false","false","COOL","FOREST","spawn, stronghold, village"
122,"ancientspellcraft:pocket","pocket",0.20,"MEDIUM",0.50,"false","false","","MAGICAL","stronghold"
123,"nether_api:betternether_netherbiome","Empty Nether",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
124,"nether_api:betternether_netherbiomegraveldesert","Gravel Desert",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
125,"nether_api:betternether_netherbiomejungle","Nether Jungle",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
126,"nether_api:betternether_netherwartforest","Wart Forest",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
127,"minecraft:void","The Void",0.50,"MEDIUM",0.50,"false","false","","VOID","stronghold"
128,"nether_api:betternether_nethergrasslands","Nether Grasslands",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
129,"minecraft:mutated_plains","Sunflower Plains",0.80,"MEDIUM",0.40,"false","false","","PLAINS, RARE","stronghold"
130,"minecraft:mutated_desert","Desert M",2.00,"WARM",0.00,"false","false","","DRY, HOT, RARE, SANDY","stronghold"
131,"minecraft:mutated_extreme_hills","Extreme Hills M",0.24,"MEDIUM",0.30,"false","false","","MOUNTAIN, RARE, SPARSE","stronghold"
132,"minecraft:mutated_forest","Flower Forest",0.70,"MEDIUM",0.80,"false","false","","FOREST, HILLS, RARE","stronghold, village"
133,"minecraft:mutated_taiga","Taiga M",0.25,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE","stronghold"
134,"minecraft:mutated_swampland","Swampland M",0.80,"MEDIUM",0.90,"false","false","","HILLS, RARE, SWAMP, WET",""
135,"nether_api:betternether_nethermushroomforest","Nether Mushroom Forest",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
136,"nether_api:betternether_nethermushroomforestedge","Nether Mushroom Forest Edge",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
137,"nether_api:betternether_netherwartforestedge","Nether Wart Forest Edge",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
138,"nether_api:betternether_netherbonereef","Bone Reef",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
139,"nether_api:betternether_netherpoorgrasslands","Poor Nether Grasslands",2.00,"WARM",0.00,"false","false","","DRY, HOT, NETHER","stronghold"
140,"minecraft:mutated_ice_flats","Ice Plains Spikes",0.00,"COLD",0.50,"true","false","","COLD, HILLS, RARE, SNOWY","stronghold"
141,"betterendforge:megalake","Megalake",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
142,"betterendforge:crystal_mountains","Crystal Mountains",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
143,"betterendforge:foggy_mushroomland","Foggy Mushroomland",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
144,"betterendforge:dust_wastelands","Dust Wastelands",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
145,"betterendforge:chorus_forest","Chorus Forest",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
146,"betterendforge:shadow_forest","Shadow Forest",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
147,"betterendforge:blossoming_spires","Blossoming Spires",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
148,"betterendforge:sulphur_springs","Sulphur Springs",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
149,"minecraft:mutated_jungle","Jungle M",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET","stronghold"
150,"betterendforge:amber_land","Amber Land",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
151,"minecraft:mutated_jungle_edge","JungleEdge M",0.95,"MEDIUM",0.80,"false","false","","HILLS, HOT, JUNGLE, RARE, SPARSE","stronghold"
152,"betterendforge:umbrella_jungle","Umbrella Jungle",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
153,"betterendforge:glowing_grasslands","Glowing Grasslands",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
154,"betterendforge:dragon_graveyards","Dragon Graveyards",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
155,"minecraft:mutated_birch_forest","Birch Forest M",0.60,"MEDIUM",0.60,"false","false","","DENSE, FOREST, HILLS, RARE","stronghold"
156,"minecraft:mutated_birch_forest_hills","Birch Forest Hills M",0.60,"MEDIUM",0.60,"false","false","","DENSE, FOREST, MOUNTAIN, RARE","stronghold"
157,"minecraft:mutated_roofed_forest","Roofed Forest M",0.70,"MEDIUM",0.80,"false","false","","DENSE, FOREST, MOUNTAIN, RARE, SPOOKY","stronghold"
158,"minecraft:mutated_taiga_cold","Cold Taiga M",-0.50,"COLD",0.40,"true","false","","COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY","stronghold"
159,"betterendforge:lantern_woods","Lantern Woods",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
160,"minecraft:mutated_redwood_taiga","Mega Spruce Taiga",0.25,"MEDIUM",0.80,"false","false","","DENSE, FOREST, RARE","stronghold"
161,"minecraft:mutated_redwood_taiga_hills","Redwood Taiga Hills M",0.25,"MEDIUM",0.80,"false","false","","DENSE, FOREST, HILLS, RARE","stronghold"
162,"minecraft:mutated_extreme_hills_with_trees","Extreme Hills+ M",0.24,"MEDIUM",0.30,"false","false","","MOUNTAIN, RARE, SPARSE","stronghold"
163,"minecraft:mutated_savanna","Savanna M",1.10,"WARM",0.00,"false","false","","DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE","stronghold"
164,"minecraft:mutated_savanna_rock","Savanna Plateau M",1.00,"WARM",0.00,"false","false","","DRY, HILLS, HOT, RARE, SAVANNA, SPARSE","stronghold"
165,"minecraft:mutated_mesa","Mesa (Bryce)",2.00,"WARM",0.00,"false","false","","DRY, HOT, MOUNTAIN, RARE, SPARSE","stronghold"
166,"minecraft:mutated_mesa_rock","Mesa Plateau F M",2.00,"WARM",0.00,"false","false","","DRY, HILLS, HOT, RARE, SPARSE","stronghold"
167,"minecraft:mutated_mesa_clear_rock","Mesa Plateau M",2.00,"WARM",0.00,"false","false","","DRY, HOT, MOUNTAIN, RARE, SPARSE","stronghold"
168,"betterendforge:dry_shrubland","Dry Shrubland",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
169,"betterendforge:umbra_valley","Umbra Valley",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
170,"betterendforge:ice_starfield","Ice Starfield",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
171,"betterendforge:empty_end_cave","Empty End Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
172,"betterendforge:empty_smaragdant_cave","Empty Smaragdant Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
173,"betterendforge:lush_smaragdant_cave","Lush Smaragdant Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
174,"betterendforge:empty_aurora_cave","Empty Aurora Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
175,"betterendforge:lush_aurora_cave","Lush Aurora Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
176,"betterendforge:end_cave","End Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
177,"betterendforge:jade_cave","Jade Cave",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
178,"betterendforge:megalake_grove","Megalake Grove",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
179,"betterendforge:painted_mountains","Painted Mountains",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
180,"betterendforge:neon_oasis","Neon Oasis",0.50,"MEDIUM",0.00,"false","false","","COLD, DRY, END","stronghold"
181,"iceandfire:glacier","Glacier",0.00,"COLD",0.50,"true","false","COOL","COLD, DEAD, SNOWY, SPARSE, WASTELAND","spawn, stronghold"
182,"defiledlands:desert_defiled","Defiled Desert",2.00,"WARM",0.00,"false","false","DESERT","DRY, HOT, SANDY, SPOOKY","stronghold"
183,"defiledlands:plains_defiled","Defiled Plains",0.80,"MEDIUM",0.40,"false","false","WARM","PLAINS, SPOOKY","stronghold"
184,"defiledlands:forest_tenebra","Tenebra Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, SPOOKY","stronghold"
185,"defiledlands:forest_vilespine","Vilespine Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, SPOOKY","stronghold"
186,"defiledlands:hills_defiled","Defiled Hills",0.20,"MEDIUM",0.30,"false","false","COOL","HILLS, MOUNTAIN, SPOOKY","stronghold"
187,"defiledlands:swamp_defiled","Defiled Swamp",0.80,"MEDIUM",0.90,"false","false","WARM","SPOOKY, SWAMP, WET",""
188,"defiledlands:ice_plains_defiled","Defiled Ice Plains",0.00,"COLD",0.50,"false","false","ICY","COLD, SNOWY, SPOOKY, WASTELAND","stronghold"
189,"environs:emerald_cliffs","Emerald Cliffs",0.40,"MEDIUM",0.50,"false","false","COOL","CONIFEROUS, MOUNTAIN","spawn, stronghold"
190,"environs:pine_taiga","Pine Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
191,"environs:pine_taiga_m","Pine Taiga M",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village"
192,"environs:end_forest","End Forest",0.70,"MEDIUM",0.50,"false","false","COOL","END, FOREST, MAGICAL","spawn, stronghold"
193,"environs:floating_end_forest","End Forest M",0.70,"MEDIUM",0.50,"false","false","COOL","END, FOREST, MAGICAL","spawn, stronghold"
194,"environs:silk_wetland","Silk Wetland",0.50,"MEDIUM",0.50,"false","false","WARM","MAGICAL, SWAMP","spawn, stronghold"
195,"environs:stone_basin","Stone Basin",0.50,"MEDIUM",0.50,"false","false","WARM","PLAINS, WASTELAND","spawn, stronghold, village"
196,"environs:stone_hills","Stone Hills",0.50,"MEDIUM",0.50,"false","false","WARM","PLAINS, WASTELAND","spawn, stronghold, village"
197,"environs:tall_oak_forest","Tall Oak Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
198,"environs:tall_oak_forest_m","Tall Oak Forest M",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold"
