"ID","Name","Description","Parent"
"betteranimalsplus:animal_head_first","[Taxidermist]","Get your first animal head
That's... kind of creepy.","betteranimalsplus:root"
"betteranimalsplus:animal_head_variants","[Big Game Hunter]","Collect at least one variant of each animal head
You could put these in your log cabin!","betteranimalsplus:animal_head_first"
"betteranimalsplus:badger_attack","[Get Badgered]","Get dirt thrown at you by a Badger
Honey badger don't care!","betteranimalsplus:root"
"betteranimalsplus:bear_killed_player","[Unbearable Death Now]","Get killed by a bear
Not so macho, but I'm sure you're working on it!","betteranimalsplus:bear_punch"
"betteranimalsplus:bear_punch","[Unbearable Death Soon]","Punch a bear
What have you done?","betteranimalsplus:root"
"betteranimalsplus:bear_punch_death","[More Macho than Putin]","Punch a bear... to death!
He only rides them, you kill them! With your fists!","betteranimalsplus:bear_punch"
"betteranimalsplus:befriend_goat","[Thx 4 da food]","Feed a goat, and then have it fight for you!
pls give more food, i impaled zombs 4 u","betteranimalsplus:goat_killed_player"
"betteranimalsplus:boar_killed_player","[Porkchopped]","Get impaled by a wild boar
Bacon has had its revenge.","betteranimalsplus:root"
"betteranimalsplus:crab_disk_retrieved","[Getting Crabby]","Craft the secret crab rave disk
Now we have to play it! Quick, get the crabs and a jukebox!","betteranimalsplus:root"
"betteranimalsplus:crab_disk_used","[Crab Rave]","Play the secret crab rave disk
DODOD DODODOOO DOOOOD DODDOOODODODOODDOO","betteranimalsplus:crab_disk_retrieved"
"betteranimalsplus:goat_killed_player","[Caprus Impalus]","Get impaled by an angry goat
A goat? Really?","betteranimalsplus:root"
"betteranimalsplus:hand_of_fate_summon","[Evil Ritual]","Use the Hand Of Fate to spawn the Hirschgeist
You have pleased Manos, and he rewards you with a ghost deer. Congratulations.

Growth of soulsand and the remains of the deer, combined with fire, and a hand of fear, will summon the Hirschgeist- from its world to here.","betteranimalsplus:root"
"betteranimalsplus:hirschgeist_killed_by_player","[Even Deader?]","Succeed in your battle against the deer god
You had a bone to pick- and you won! Congratulations.","betteranimalsplus:hand_of_fate_summon"
"betteranimalsplus:hirschgeist_killed_player","[Lord of the Woods]","Be killed by the deer god
I mean, what were you thinking would happen?!?!","betteranimalsplus:hand_of_fate_summon"
"betteranimalsplus:jellyfish_killed","[Death to Danger Cube]","Take revenge on that awful jellyfish!
Despite your mother's warnings, your dumb persistence has paid off","betteranimalsplus:jellyfish_sting"
"betteranimalsplus:jellyfish_sting","[Unfriendly Cube]","Get stung by a jellyfish
You should've listened to mom, don't touch the jellyfish! Also, no, PLEASE don't pee on the sting!","betteranimalsplus:root"
"betteranimalsplus:lamprey_succ","[Unpleasant Sucking]","Get too close to a lamprey
Oh my god! What is that!?!?","betteranimalsplus:root"
"betteranimalsplus:ride_reindeer","[Strange Steed]","Ride a reindeer
That's a pretty odd horse...","betteranimalsplus:root"
"betteranimalsplus:root","[Better Animals Plus]","Start the game with Better Animals Plus installed","-"
"betteranimalsplus:shark_target_player","[Jaws]","Get targeted by a shark
Da-dun.... Da-dun...","betteranimalsplus:root"
"betteranimalsplus:squirrel_kill_100","[Chronic Abuser]","Kill 100 squirrels
I know this is an advancement, but you really don't have to get all of the advancements. Please stop.","betteranimalsplus:root"
"betteranimalsplus:tame_feral_wolf","[Taming the Untameable]","Tame a Feral Wolf
I mean, it's in the name! How?!?","betteranimalsplus:hirschgeist_killed_by_player"
"betteranimalsplus:tame_fox","[Better Than 1.14!]","Tame a Fox
I mean, it LOOKS better. In the words of Ulandos, the new ones look like a: ""Retarded Squirrel"" [am I allowed to say that? it's a quote, I didn't say it!]
https://www.youtube.com/watch?v=mcBE2z_8Zus","betteranimalsplus:root"
"betteranimalsplus:tame_lammergeier","[One Who Breaks Bones]","Tame a Lammergeier
And anyone who stands in your way!","betteranimalsplus:root"
"betteranimalsplus:ultimate_succening","[The Ultimate Succening]","Get succed by a Lamprey, a bobbit worm, and a zotzpyre
I don't think I have any blood left to succ...","betteranimalsplus:lamprey_succ"
"betteranimalsplus:walrus_disk_retrieved","[Goo Goo G'joob]","Feed the walrus a fried egg
Looks like it's time to get a jukebox...","betteranimalsplus:root"
"betteranimalsplus:walrus_disk_used","[I am the Walrus]","Play the secret walrus disk
Sittin on a corn flake...","betteranimalsplus:walrus_disk_retrieved"
"betteranimalsplus:wear_cape_and_skull","[Dark Druid]","Get any wolf cape and the wearable hirschgeist skull
All hail the deer god!","betteranimalsplus:hirschgeist_killed_by_player"
"biomesoplenty:biomesoplenty/all_biomes","[Wanderer]","Discover every biome in Biomes O' Plenty","biomesoplenty:biomesoplenty/terrestrial_artifact"
"biomesoplenty:biomesoplenty/flesh_and_blood","[Flesh and Blood]","Harvest flesh from the Visceral Heap","biomesoplenty:biomesoplenty/root"
"biomesoplenty:biomesoplenty/honey_hell","[Honey Hell]","Steal some sweet honey from a Nether Wasp hive","biomesoplenty:biomesoplenty/flesh_and_blood"
"biomesoplenty:biomesoplenty/miners_delight","[Life Finds a Way]","Find a miner's delight flower deep in a cave","biomesoplenty:biomesoplenty/root"
"biomesoplenty:biomesoplenty/root","[Biomes O' Plenty]","The explorer's dream...","-"
"biomesoplenty:biomesoplenty/sacred_oak_sapling","[Yggdrasil]","Plant a mighty Sacred Oak sapling","biomesoplenty:biomesoplenty/miners_delight"
"biomesoplenty:biomesoplenty/terrestrial_artifact","[By Your Powers Combined]","Find one of each biome-exclusive gem","biomesoplenty:biomesoplenty/root"
"biomesoplenty:biomesoplenty/yin_and_yang","[Yin and Yang]","Plant a glowflower in the Ominous Woods, and a deathbloom in the Mystic Grove","biomesoplenty:biomesoplenty/sacred_oak_sapling"
"biomesoplenty:recipes/buildingblocks/amber_block","biomesoplenty:recipes/buildingblocks/amber_block","<null>","-"
"biomesoplenty:recipes/buildingblocks/amethyst_block","biomesoplenty:recipes/buildingblocks/amethyst_block","<null>","-"
"biomesoplenty:recipes/buildingblocks/ash_block","biomesoplenty:recipes/buildingblocks/ash_block","<null>","-"
"biomesoplenty:recipes/buildingblocks/bamboo_thatching","biomesoplenty:recipes/buildingblocks/bamboo_thatching","<null>","-"
"biomesoplenty:recipes/buildingblocks/celestial_crystal","biomesoplenty:recipes/buildingblocks/celestial_crystal","<null>","-"
"biomesoplenty:recipes/buildingblocks/cherry_planks","biomesoplenty:recipes/buildingblocks/cherry_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/cherry_stairs","biomesoplenty:recipes/buildingblocks/cherry_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/cherry_wooden_slab","biomesoplenty:recipes/buildingblocks/cherry_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/chiseled_white_sandstone","biomesoplenty:recipes/buildingblocks/chiseled_white_sandstone","<null>","-"
"biomesoplenty:recipes/buildingblocks/coarse_loamy_dirt","biomesoplenty:recipes/buildingblocks/coarse_loamy_dirt","<null>","-"
"biomesoplenty:recipes/buildingblocks/coarse_sandy_dirt","biomesoplenty:recipes/buildingblocks/coarse_sandy_dirt","<null>","-"
"biomesoplenty:recipes/buildingblocks/coarse_silty_dirt","biomesoplenty:recipes/buildingblocks/coarse_silty_dirt","<null>","-"
"biomesoplenty:recipes/buildingblocks/ebony_planks","biomesoplenty:recipes/buildingblocks/ebony_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/ebony_stairs","biomesoplenty:recipes/buildingblocks/ebony_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/ebony_wooden_slab","biomesoplenty:recipes/buildingblocks/ebony_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/ethereal_planks","biomesoplenty:recipes/buildingblocks/ethereal_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/ethereal_stairs","biomesoplenty:recipes/buildingblocks/ethereal_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/ethereal_wooden_slab","biomesoplenty:recipes/buildingblocks/ethereal_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/eucalyptus_planks","biomesoplenty:recipes/buildingblocks/eucalyptus_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/eucalyptus_stairs","biomesoplenty:recipes/buildingblocks/eucalyptus_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/eucalyptus_wooden_slab","biomesoplenty:recipes/buildingblocks/eucalyptus_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/filled_honeycomb_block","biomesoplenty:recipes/buildingblocks/filled_honeycomb_block","<null>","-"
"biomesoplenty:recipes/buildingblocks/fir_planks","biomesoplenty:recipes/buildingblocks/fir_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/fir_stairs","biomesoplenty:recipes/buildingblocks/fir_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/fir_wooden_slab","biomesoplenty:recipes/buildingblocks/fir_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/flesh_block","biomesoplenty:recipes/buildingblocks/flesh_block","<null>","-"
"biomesoplenty:recipes/buildingblocks/hellbark_planks","biomesoplenty:recipes/buildingblocks/hellbark_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/hellbark_stairs","biomesoplenty:recipes/buildingblocks/hellbark_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/hellbark_wooden_slab","biomesoplenty:recipes/buildingblocks/hellbark_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/honeycomb_block","biomesoplenty:recipes/buildingblocks/honeycomb_block","<null>","-"
"biomesoplenty:recipes/buildingblocks/jacaranda_planks","biomesoplenty:recipes/buildingblocks/jacaranda_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/jacaranda_stairs","biomesoplenty:recipes/buildingblocks/jacaranda_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/jacaranda_wooden_slab","biomesoplenty:recipes/buildingblocks/jacaranda_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/magic_planks","biomesoplenty:recipes/buildingblocks/magic_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/magic_stairs","biomesoplenty:recipes/buildingblocks/magic_stairs","<null>","-"
"biomesoplenty:recipes/buildingblocks/magic_wooden_slab","biomesoplenty:recipes/buildingblocks/magic_wooden_slab","<null>","-"
"biomesoplenty:recipes/buildingblocks/mahogany_planks","biomesoplenty:recipes/buildingblocks/mahogany_planks","<null>","-"
"biomesoplenty:recipes/buildingblocks/mahogany_stairs","biomesoplenty:recipes/buildingblocks/mahogany_stairs","<null>","-"
