"Registry name","Name","Type","Rarity","ID"
"crossbows:piercing","enchantment.crossbows.piercing","crossbow","COMMON",150
"crossbows:quick_charge","enchantment.crossbows.quickcharge","crossbow","UNCOMMON",148
"deeperdepths:breach","enchantment.deeperdepths.breach","WEAPON","RARE",151
"deeperdepths:density","enchantment.deeperdepths.density","WEAPON","UNCOMMON",152
"deeperdepths:wind_burst","enchantment.deeperdepths.wind_burst","WEAPON","RARE",153
"defiledlands:blazing","enchantment.blazing","UMBRA_BLASTER","VERY_RARE",158
"defiledlands:destructive","enchantment.destructive","DESTRUCTIVE","COMMON",156
"defiledlands:economical","enchantment.economical","GUN","UNCOMMON",155
"defiledlands:safeguard","enchantment.safeguard","UMBRA_BLASTER","COMMON",157
"defiledlands:sharpshooter","enchantment.sharpshooter","GUN","COMMON",154
"ebwizardry:flaming_weapon","enchantment.ebwizardry:flaming_weapon","<null>","COMMON",13
"ebwizardry:freezing_weapon","enchantment.ebwizardry:freezing_weapon","<null>","COMMON",14
"ebwizardry:frost_protection","enchantment.ebwizardry:frost_protection","ARMOR","RARE",23
"ebwizardry:magic_bow","enchantment.ebwizardry:magic_bow","<null>","COMMON",12
"ebwizardry:magic_protection","enchantment.ebwizardry:magic_protection","ARMOR","UNCOMMON",15
"ebwizardry:magic_sword","enchantment.ebwizardry:magic_sword","<null>","COMMON",11
"ebwizardry:shock_protection","enchantment.ebwizardry:shock_protection","ARMOR","RARE",24
"farmersdelight:backstabbing","enchantment.backstabbing","WEAPON","UNCOMMON",166
"futurefireproof:fireproof","enchantment.fireproof","ALL","COMMON",176
"futuremc:channeling","enchantment.channeling","weapons","VERY_RARE",173
"futuremc:impaling","enchantment.impaling","weapons","RARE",175
"futuremc:loyalty","enchantment.loyalty","weapons","UNCOMMON",172
"futuremc:riptide","enchantment.riptide","weapons","RARE",174
"minecraft:aqua_affinity","enchantment.waterWorker","ARMOR_HEAD","RARE",6
"minecraft:bane_of_arthropods","enchantment.damage.arthropods","WEAPON","UNCOMMON",18
"minecraft:binding_curse","enchantment.binding_curse","WEARABLE","VERY_RARE",10
"minecraft:blast_protection","enchantment.protect.explosion","ARMOR","RARE",3
"minecraft:depth_strider","enchantment.waterWalker","ARMOR_FEET","RARE",8
"minecraft:efficiency","enchantment.digging","DIGGER","COMMON",32
"minecraft:feather_falling","enchantment.protect.fall","ARMOR_FEET","UNCOMMON",2
"minecraft:fire_aspect","enchantment.fire","WEAPON","RARE",20
"minecraft:fire_protection","enchantment.protect.fire","ARMOR","UNCOMMON",1
"minecraft:flame","enchantment.arrowFire","BOW","RARE",50
"minecraft:fortune","enchantment.lootBonusDigger","DIGGER","RARE",35
"minecraft:frost_walker","enchantment.frostWalker","ARMOR_FEET","RARE",9
"minecraft:infinity","enchantment.arrowInfinite","BOW","VERY_RARE",51
"minecraft:knockback","enchantment.knockback","WEAPON","UNCOMMON",19
"minecraft:looting","enchantment.lootBonus","WEAPON","RARE",21
"minecraft:luck_of_the_sea","enchantment.lootBonusFishing","FISHING_ROD","RARE",61
"minecraft:lure","enchantment.fishingSpeed","FISHING_ROD","RARE",62
"minecraft:mending","enchantment.mending","BREAKABLE","RARE",70
"minecraft:power","enchantment.arrowDamage","BOW","COMMON",48
"minecraft:projectile_protection","enchantment.protect.projectile","ARMOR","UNCOMMON",4
"minecraft:protection","enchantment.protect.all","ARMOR","COMMON",0
"minecraft:punch","enchantment.arrowKnockback","BOW","RARE",49
"minecraft:respiration","enchantment.oxygen","ARMOR_HEAD","RARE",5
"minecraft:sharpness","enchantment.damage.all","WEAPON","COMMON",16
"minecraft:silk_touch","enchantment.untouching","DIGGER","VERY_RARE",33
"minecraft:smite","enchantment.damage.undead","WEAPON","UNCOMMON",17
"minecraft:sweeping","enchantment.sweeping","WEAPON","RARE",22
"minecraft:thorns","enchantment.thorns","ARMOR_CHEST","VERY_RARE",7
"minecraft:unbreaking","enchantment.durability","BREAKABLE","UNCOMMON",34
"minecraft:vanishing_curse","enchantment.vanishing_curse","ALL","VERY_RARE",71
"mod_lavacow:corrosive","enchantment.mod_lavacow.corrosive","WEAPON","VERY_RARE",169
"mod_lavacow:critical_boost","enchantment.mod_lavacow.critical_boost","WEAPON","RARE",170
"mod_lavacow:dominion","enchantment.mod_lavacow.dominion","WEAPON","VERY_RARE",171
"mod_lavacow:lifesteal","enchantment.mod_lavacow.lifesteal","WEAPON","VERY_RARE",168
"mod_lavacow:poisonous","enchantment.mod_lavacow.poisonous","WEAPON","RARE",167
"nb:soul_speed","enchantment.soul_speed","ARMOR_FEET","VERY_RARE",27
"oe:channeling","enchantment.oe.channeling","WEAPON","UNCOMMON",162
"oe:is_watermob","enchantment.oe.is_watermob","WEAPON","RARE",159
"oe:is_wet","enchantment.oe.is_wet","WEAPON","RARE",160
"oe:loyalty","enchantment.oe.loyalty","WEAPON","UNCOMMON",161
"oe:mobstomp","enchantment.oe.mobstomp","ARMOR_FEET","UNCOMMON",164
"oe:rebound","enchantment.oe.rebound","ARMOR_FEET","UNCOMMON",165
"oe:riptide","enchantment.oe.riptide","WEAPON","UNCOMMON",163
"radenchants:appetite","enchantment.radenchants:appetite","re_appetite","RARE",208
"radenchants:auto_block","enchantment.radenchants:auto_block","re_auto_block","RARE",193
"radenchants:backstab","enchantment.radenchants:backstab","re_backstab","RARE",187
"radenchants:barbs","enchantment.radenchants:barbs","re_barbs","UNCOMMON",182
"radenchants:boosted","enchantment.radenchants:boosted","re_boosted","VERY_RARE",220
"radenchants:breaching","enchantment.radenchants:breaching","re_breaching","UNCOMMON",189
"radenchants:climbing_gear","enchantment.radenchants:climbing_gear","re_climbing_gear","UNCOMMON",221
"radenchants:decapitating","enchantment.radenchants:decapitating","re_decapitating","RARE",180
"radenchants:deep_pockets","enchantment.radenchants:deep_pockets","re_deep_pockets","RARE",198
"radenchants:dreams","enchantment.radenchants:dreams","re_dreams","UNCOMMON",207
"radenchants:dual_edge","enchantment.radenchants:dual_edge","re_dual_edge","VERY_RARE",181
"radenchants:earplugs","enchantment.radenchants:earplugs","re_earplugs","UNCOMMON",219
"radenchants:evasive_fire","enchantment.radenchants:evasive_fire","re_evasive_fire","RARE",194
"radenchants:focus_fire","enchantment.radenchants:focus_fire","re_focus_fire","RARE",195
"radenchants:gallop","enchantment.radenchants:gallop","re_gallop","RARE",214
"radenchants:glare","enchantment.radenchants:glare","re_glare","VERY_RARE",216
"radenchants:gluttony","enchantment.radenchants:gluttony","re_gluttony","RARE",186
"radenchants:gunner","enchantment.radenchants:gunner","re_gunner","RARE",210
"radenchants:haven","enchantment.radenchants:haven","re_haven","VERY_RARE",215
"radenchants:illuminate","enchantment.radenchants:illuminate","re_illuminate","RARE",205
"radenchants:impenetrable","enchantment.radenchants:impenetrable","re_impenetrable","RARE",191
"radenchants:life_leech","enchantment.radenchants:life_leech","re_life_leech","RARE",177
"radenchants:magical_blade","enchantment.radenchants:magical_blade","re_magical_blade","RARE",178
"radenchants:mobile","enchantment.radenchants:mobile","re_mobile","RARE",190
"radenchants:moon_boots","enchantment.radenchants:moon_boots","re_moon_boots","RARE",202
"radenchants:nightmask","enchantment.radenchants:nightmask","re_nightmask","UNCOMMON",185
"radenchants:one_man_army","enchantment.radenchants:one_man_army","re_one_man_army","RARE",197
"radenchants:one_with_the_blade","enchantment.radenchants:one_with_the_blade","re_one_with_the_blade","VERY_RARE",212
"radenchants:paladin","enchantment.radenchants:paladin","re_paladin","RARE",211
"radenchants:pocket_dimension","enchantment.radenchants:pocket_dimension","re_pocket_dimension","VERY_RARE",201
"radenchants:pocket_protector","enchantment.radenchants:pocket_protector","re_pocket_protector","RARE",199
"radenchants:rabbits_feet","enchantment.radenchants:rabbits_feet","re_rabbits_feet","RARE",203
"radenchants:recoil","enchantment.radenchants:recoil","re_recoil","UNCOMMON",192
"radenchants:rejuvenate","enchantment.radenchants:rejuvenate","re_rejuvenate","VERY_RARE",204
"radenchants:ruthless","enchantment.radenchants:ruthless","re_ruthless","RARE",196
"radenchants:sacrifice","enchantment.radenchants:sacrifice","re_sacrifice","UNCOMMON",218
"radenchants:safeguard","enchantment.radenchants:safeguard","re_safeguard","VERY_RARE",184
"radenchants:seventh","enchantment.radenchants:seventh","re_seventh","VERY_RARE",206
"radenchants:shadow_meld","enchantment.radenchants:shadow_meld","re_shadow_meld","UNCOMMON",209
"radenchants:sheathed","enchantment.radenchants:sheathed","re_sheathed","UNCOMMON",188
"radenchants:snitch","enchantment.radenchants:snitch","re_snitch","RARE",213
"radenchants:socketed","enchantment.radenchants:socketed","re_socketed","VERY_RARE",217
"radenchants:soul_mending","enchantment.radenchants:soul_mending","re_soul_mending","RARE",179
"radenchants:void_bane","enchantment.radenchants:void_bane","re_void_bane","VERY_RARE",183
"radenchants:yield","enchantment.radenchants:yield","re_yield","VERY_RARE",200
"somanyenchantments:adept","enchantment.adept","None","RARE",29
"somanyenchantments:ancientsealedcurses","enchantment.ancientsealedcurses","None","VERY_RARE",30
"somanyenchantments:ancientswordmastery","enchantment.ancientswordmastery","None","VERY_RARE",31
"somanyenchantments:arcslash","enchantment.arcslash","None","VERY_RARE",36
"somanyenchantments:ascetic","enchantment.ascetic","None","RARE",101
"somanyenchantments:ashdestroyer","enchantment.ashdestroyer","None","RARE",37
"somanyenchantments:blessededge","enchantment.blessededge","None","RARE",38
"somanyenchantments:bluntness","enchantment.bluntness","None","RARE",102
"somanyenchantments:breachedplating","enchantment.breachedplating","None","RARE",103
"somanyenchantments:brutality","enchantment.brutality","None","RARE",39
"somanyenchantments:burningshield","enchantment.burningshield","None","RARE",40
"somanyenchantments:burningthorns","enchantment.burningthorns","None","VERY_RARE",41
"somanyenchantments:butchering","enchantment.butchering","None","RARE",42
"somanyenchantments:clearskiesfavor","enchantment.clearskiesfavor","None","RARE",43
"somanyenchantments:combatmedic","enchantment.combatmedic","None","RARE",44
"somanyenchantments:counterattack","enchantment.counterattack","None","RARE",45
"somanyenchantments:criticalstrike","enchantment.criticalstrike","None","RARE",46
"somanyenchantments:cryogenic","enchantment.cryogenic","None","RARE",47
"somanyenchantments:culling","enchantment.culling","None","VERY_RARE",52
"somanyenchantments:cursededge","enchantment.cursededge","None","RARE",104
"somanyenchantments:curseofdecay","enchantment.curseofdecay","None","VERY_RARE",105
"somanyenchantments:curseofholding","enchantment.curseofholding","None","VERY_RARE",106
"somanyenchantments:curseofinaccuracy","enchantment.curseofinaccuracy","None","VERY_RARE",107
"somanyenchantments:curseofpossession","enchantment.curseofpossession","None","VERY_RARE",108
"somanyenchantments:curseofvulnerability","enchantment.curseofvulnerability","None","VERY_RARE",109
"somanyenchantments:darkshadows","enchantment.darkshadows","None","RARE",53
"somanyenchantments:defusingedge","enchantment.defusingedge","None","RARE",54
"somanyenchantments:desolator","enchantment.desolator","None","RARE",55
"somanyenchantments:disarmament","enchantment.disarmament","None","RARE",56
"somanyenchantments:disorientatingblade","enchantment.disorientatingblade","None","RARE",57
"somanyenchantments:dragging","enchantment.dragging","None","VERY_RARE",110
"somanyenchantments:empowereddefence","enchantment.empowereddefence","None","RARE",58
"somanyenchantments:envenomed","enchantment.envenomed","None","RARE",59
"somanyenchantments:evasion","enchantment.evasion","None","RARE",60
"somanyenchantments:extinguish","enchantment.extinguish","None","VERY_RARE",111
"somanyenchantments:fieryedge","enchantment.fieryedge","None","VERY_RARE",63
"somanyenchantments:flinging","enchantment.flinging","None","UNCOMMON",64
"somanyenchantments:heavyweight","enchantment.heavyweight","None","RARE",112
"somanyenchantments:horsdecombat","enchantment.horsdecombat","None","RARE",65
"somanyenchantments:inefficient","enchantment.inefficient","None","RARE",113
"somanyenchantments:inhumane","enchantment.inhumane","None","RARE",66
"somanyenchantments:innerberserk","enchantment.innerberserk","None","VERY_RARE",67
"somanyenchantments:instability","enchantment.instability","None","VERY_RARE",114
"somanyenchantments:jaggedrake","enchantment.jaggedrake","None","RARE",68
"somanyenchantments:levitator","enchantment.levitator","None","RARE",69
"somanyenchantments:lightweight","enchantment.lightweight","None","RARE",72
"somanyenchantments:lunasblessing","enchantment.lunasblessing","None","RARE",73
"somanyenchantments:magicprotection","enchantment.magicprotection","None","UNCOMMON",74
"somanyenchantments:magmawalker","enchantment.magmawalker","None","VERY_RARE",75
"somanyenchantments:meltdown","enchantment.meltdown","None","VERY_RARE",115
"somanyenchantments:moisturized","enchantment.moisturized","None","UNCOMMON",76
"somanyenchantments:naturalblocking","enchantment.naturalblocking","None","RARE",77
"somanyenchantments:pandorascurse","enchantment.pandorascurse","None","VERY_RARE",116
"somanyenchantments:penetratingedge","enchantment.penetratingedge","None","RARE",78
"somanyenchantments:physicalprotection","enchantment.physicalprotection","None","RARE",79
"somanyenchantments:plowing","enchantment.plowing","None","RARE",99
"somanyenchantments:powerless","enchantment.powerless","None","RARE",117
"somanyenchantments:purgingblade","enchantment.purgingblade","None","UNCOMMON",80
"somanyenchantments:purification","enchantment.purification","None","UNCOMMON",81
"somanyenchantments:pushing","enchantment.pushing","None","VERY_RARE",82
"somanyenchantments:rainsbestowment","enchantment.rainsbestowment","None","RARE",83
"somanyenchantments:reinforcedsharpness","enchantment.reinforcedsharpness","None","RARE",85
"somanyenchantments:reviledblade","enchantment.reviledblade","None","VERY_RARE",84
"somanyenchantments:rune_arrowpiercing","enchantment.rune_arrowpiercing","None","VERY_RARE",120
"somanyenchantments:rune_magicalblessing","enchantment.rune_magicalblessing","None","VERY_RARE",121
"somanyenchantments:rune_piercingcapabilities","enchantment.rune_piercingcapabilities","None","VERY_RARE",122
"somanyenchantments:rune_resurrection","enchantment.rune_resurrection","None","VERY_RARE",123
"somanyenchantments:rune_revival","enchantment.rune_revival","None","VERY_RARE",124
"somanyenchantments:rusted","enchantment.rusted","None","RARE",118
"somanyenchantments:smelter","enchantment.smelter","None","VERY_RARE",86
"somanyenchantments:solsblessing","enchantment.solsblessing","None","RARE",87
"somanyenchantments:spellbreaker","enchantment.spellbreaker","None","RARE",88
"somanyenchantments:splitshot","enchantment.splitshot","None","VERY_RARE",89
"somanyenchantments:strafe","enchantment.strafe","None","UNCOMMON",90
"somanyenchantments:strengthenedvitality","enchantment.strengthenedvitality","None","VERY_RARE",91
"somanyenchantments:subjectbiology","enchantment.subjectbiology","None","RARE",125
"somanyenchantments:subjectchemistry","enchantment.subjectchemistry","None","RARE",126
"somanyenchantments:subjectenglish","enchantment.subjectenglish","None","RARE",127
"somanyenchantments:subjectgeography","enchantment.subjectgeography","None","RARE",132
"somanyenchantments:subjecthistory","enchantment.subjecthistory","None","RARE",128
"somanyenchantments:subjectmathematics","enchantment.subjectmathematics","None","RARE",129
"somanyenchantments:subjectpe","enchantment.subjectpe","None","RARE",130
"somanyenchantments:subjectphysics","enchantment.subjectphysics","None","RARE",131
"somanyenchantments:swifterslashes","enchantment.swifterslashes","None","VERY_RARE",92
"somanyenchantments:thunderstormsbestowment","enchantment.thunderstormsbestowment","None","RARE",93
"somanyenchantments:truestrike","enchantment.truestrike","None","RARE",94
"somanyenchantments:unpredictable","enchantment.unpredictable","None","VERY_RARE",119
"somanyenchantments:unreasonable","enchantment.unreasonable","None","RARE",95
"somanyenchantments:unsheathing","enchantment.unsheathing","None","VERY_RARE",96
"somanyenchantments:viper","enchantment.viper","None","RARE",97
"somanyenchantments:wateraspect","enchantment.wateraspect","None","RARE",98
"somanyenchantments:wintersgrace","enchantment.wintersgrace","None","RARE",100
"spartanshields:ssenchspikes","enchantment.spartanshields:spikes","ss_shield","UNCOMMON",222
"spartanweaponry:expanse","enchantment.spartanweaponry:expanse","sw_throwing_weapon","RARE",139
"spartanweaponry:hydrodynamic","enchantment.spartanweaponry:hydrodynamic","sw_throwing_weapon","VERY_RARE",137
"spartanweaponry:incendiary","enchantment.spartanweaponry:incendiary","sw_throwing_weapon","RARE",135
"spartanweaponry:lucky_throw","enchantment.spartanweaponry:lucky_throw","sw_throwing_weapon","RARE",136
"spartanweaponry:propulsion","enchantment.spartanweaponry:propulsion","sw_throwing_weapon","UNCOMMON",133
"spartanweaponry:rapid_load","enchantment.spartanweaponry:rapid_load","sw_crossbow","UNCOMMON",141
"spartanweaponry:razors_edge","enchantment.spartanweaponry:razors_edge","sw_throwing_weapon","COMMON",134
"spartanweaponry:return","enchantment.spartanweaponry:return","sw_throwing_weapon","VERY_RARE",140
"spartanweaponry:sharpshooter","enchantment.spartanweaponry:sharpshooter","sw_crossbow","RARE",143
"spartanweaponry:spreadshot","enchantment.spartanweaponry:spreadshot","sw_crossbow","RARE",142
"spartanweaponry:supercharge","enchantment.spartanweaponry:supercharge","sw_throwing_weapon","RARE",138
"spectral_edge:spectral_edge","enchantment.damage.spectral","WEAPON","COMMON",223
"switchbow:activescope","enchantment.activeScope","BOW","RARE",225
"switchbow:cooldownreduce","enchantment.cooldownReduce","BOW","RARE",226
"switchbow:pullspeed","enchantment.pullSpeed","BOW","RARE",224
