"Class","Command","Aliases","Usage"
"com.elytradev.davincisvessels.common.command.CommandDVTP","dvtp","","/dvtp"
"com.elytradev.davincisvessels.common.command.CommandDisassembleNear","dvdisassemblenear","","/dvdisassemblenear [range]"
"com.elytradev.davincisvessels.common.command.CommandDisassembleShip","dvdisassemble","","/dvdisassemble [overwrite OR drop]"
"com.elytradev.davincisvessels.common.command.CommandShipInfo","dvinfo","","/dvinfo"
"com.fantasticsource.fantasticlib.CmdGive","give","","/give <player> <item> [amount] [data] [dataTag]"
"com.fantasticsource.fantasticlib.Commands","fantasticlib","flib","§b/fantasticlib uptime
§b/fantasticlib heapdump"
"com.fantasticsource.fantasticlib.Commands","fantasticlib","flib","§b/fantasticlib uptime
§b/fantasticlib heapdump"
"com.fantasticsource.servershutdowntimer.Commands","stop","shutdown","§b/stop [n]§f - §dShuts down the server after n seconds (60 seconds if no number is entered)
§b/stop cancel§f - §dCancels a timed shutdown of the server"
"com.fantasticsource.servershutdowntimer.Commands","stop","shutdown","§b/stop [n]§f - §dShuts down the server after n seconds (60 seconds if no number is entered)
§b/stop cancel§f - §dCancels a timed shutdown of the server"
"com.fantasticsource.setbonus.common.Commands","setbonus","","/setbonus reload"
"com.kreezcraft.terracartreloaded.CommandTC","tc","tc, terracart, terracart","/tc <vanillacart|vc> <true|false>
    force using the friction based vanilla cart"
"com.kreezcraft.terracartreloaded.CommandTC","tc","tc, terracart, terracart","/tc <vanillacart|vc> <true|false>
    force using the friction based vanilla cart"
"com.ldtteam.structurize.commands.StructurizeCommand","structurize","","/structurize <updateschematics | scan | linksession>"
"com.natamus.starterkit.cmds.CommandStarterkit","starterkit","","/starterkit"
"com.someguyssoftware.dungeons2.command.BuildCommand","dgn2build","","/dgn2build <x> <y> <z> [pattern] [size] [terrianCheck] : generates the dungeon structure at location (x,y,z)"
"com.someguyssoftware.dungeons2.command.BuildEntranceCommand","dgn2entrance","","/dgn2entrance <x> <y> <z> [terrianCheck] : generates the dungeon entrance at location (x,y,z)"
"com.someguyssoftware.dungeons2.command.ChestCommand","dgn2chest","","/dgn2chest <x> <y> <z> [category | -n <name>]: generates a dungeon chest at location (x,y,z)"
"com.someguyssoftware.gottschcore.command.ShowVersionCommand","showversion-dungeons2","","showversion-dungeons2"
"com.someguyssoftware.gottschcore.command.ShowVersionCommand","showversion-gottschcore","","showversion-gottschcore"
"com.spellarchives.command.CommandArchives","archives","","/archives fill <count|""max""> [typesCount]"
"com.tmtravlr.qualitytools.config.CommandQualityToolsReload","qualitytoolsreload","","/qualitytoolsreload"
"com.unoriginal.beastslayer.command.CommandLocateAB","locateAB","locateAB","locateAB <mod location>"
"com.unseen.nb.common.commands.CommandLocateBastion","locateNether","locateNether","locateNether <mod location>"
"com.vanyabaou.radenchants.Commands.CommandEarplugs","earplugs","muffle, plugs","/earplugs <add|remove> <sound> OR /earplugs list"
"com.vanyabaou.radenchants.Commands.CommandEarplugs","earplugs","muffle, plugs","/earplugs <add|remove> <sound> OR /earplugs list"
"com.vanyabaou.radenchants.Commands.CommandEarplugs","earplugs","muffle, plugs","/earplugs <add|remove> <sound> OR /earplugs list"
"com.windanesz.ancientspellcraft.command.CommandListBiomes","listbiomes","","/%1$s"
"com.windanesz.arcaneapprentices.command.CommandResetApprenticeData","resetapprenticedata","","commands.arcaneapprentices:resetapprenticedata.usage"
"com.windanesz.arcaneapprentices.command.CommandSetApprenticeLevel","setapprenticelevel","","/setapprenticelevel <apprentice_name> <level>"
"com.windanesz.arcaneapprentices.command.CommandSetApprenticeSpell","setapprenticespell","","/setapprenticespell <apprentice_name> <namespace:spell_name>"
"com.windanesz.tracesofthefallen.command.CommandGetHauntingProgress","gethauntingprogress","","/gethauntingprogress <player>"
"com.windanesz.tracesofthefallen.command.CommandSetHauntingProgress","sethauntingprogress","","/sethauntingprogress <player> <progress>"
"com.yourname.hidenamesv.HideNamesCloseCommand","hidenameclose","","/hidenameclose"
"com.yourname.hidenamesv.HideNamesCommand","hidenameopen","","/hidenameopen"
"crafttweaker.mc1120.commands.CTChatCommand","crafttweaker","ct, minetweaker, mt","/crafttweaker biomeTypes | biomes | blockinfo | blocks | bugs | conflict | copy | discord | docs | dumpzs | enchants | entities | foods | give | hand | help | inventory | jeiCategories | json | keyNames | liquids | log | loottables | mods | names | nbt | oredict | potions | recipeNames | recipes | reload | scripts | seeds | syntax | villager | wiki | zslint"
"crafttweaker.mc1120.commands.CTChatCommand","crafttweaker","ct, minetweaker, mt","/crafttweaker biomeTypes | biomes | blockinfo | blocks | bugs | conflict | copy | discord | docs | dumpzs | enchants | entities | foods | give | hand | help | inventory | jeiCategories | json | keyNames | liquids | log | loottables | mods | names | nbt | oredict | potions | recipeNames | recipes | reload | scripts | seeds | syntax | villager | wiki | zslint"
"crafttweaker.mc1120.commands.CTChatCommand","crafttweaker","ct, minetweaker, mt","/crafttweaker biomeTypes | biomes | blockinfo | blocks | bugs | conflict | copy | discord | docs | dumpzs | enchants | entities | foods | give | hand | help | inventory | jeiCategories | json | keyNames | liquids | log | loottables | mods | names | nbt | oredict | potions | recipeNames | recipes | reload | scripts | seeds | syntax | villager | wiki | zslint"
"crafttweaker.mc1120.commands.CTChatCommand","crafttweaker","ct, minetweaker, mt","/crafttweaker biomeTypes | biomes | blockinfo | blocks | bugs | conflict | copy | discord | docs | dumpzs | enchants | entities | foods | give | hand | help | inventory | jeiCategories | json | keyNames | liquids | log | loottables | mods | names | nbt | oredict | potions | recipeNames | recipes | reload | scripts | seeds | syntax | villager | wiki | zslint"
"cursedflames.bountifulbaubles.wormhole.CommandWormhole","wormhole","","/wormhole <acc|deny> [player] - note that specifying player names might be buggy."
"de.Whitedraco.switchbow.command.CommandSwitchBow","switchbow","switchbow","switchbow <Text>"
"de.keksuccino.fancymenu.commands.server.ServerCloseGuiScreenCommand","closeguiscreen","/closeguiscreen",""
"de.keksuccino.fancymenu.commands.server.ServerCloseGuiScreenCommand","closeguiscreen","/closeguiscreen",""
"de.keksuccino.fancymenu.commands.server.ServerOpenGuiScreenCommand","openguiscreen","/openguiscreen",""
"de.keksuccino.fancymenu.commands.server.ServerOpenGuiScreenCommand","openguiscreen","/openguiscreen",""
"de.keksuccino.fancymenu.commands.server.ServerVariableCommand","fmvariable","/fmvariable",""
"de.keksuccino.fancymenu.commands.server.ServerVariableCommand","fmvariable","/fmvariable",""
"electroblob.wizardry.command.CommandCastSpell","cast","","/%1$s <spell> [player | x y z direction] [duration] [modifiers]"
"electroblob.wizardry.command.CommandDiscoverSpell","discoverspell","","/%1$s <spell/all/clear> [player]"
"electroblob.wizardry.command.CommandSetAlly","ally","","/%1$s <player> [player]"
"electroblob.wizardry.command.CommandViewAllies","allies","","/%1$s [player]"
"fathertoast.specialai.village.CommandVillageInfo","villageinfo","","/villageinfo"
"fi.dy.masa.tellme.command.CommandTellme","tellme","","/tellme help"
"git.jbredwards.fluidlogged_api.mod.common.command.CommandFluidloggedAPI","fluidlogged","","Use /fluidlogged <subcommand>"
"git.jbredwards.fluidlogged_api.mod.common.command.CommandFluidloggedAPI","fluidlogged_api","","Use /fluidlogged_api <subcommand>"
"git.jbredwards.fluidlogged_api.mod.common.command.CommandReloadConfig","reloadFluidloggedAPI","","Use /reloadFluidloggedAPI"
"git.jbredwards.fluidlogged_api.mod.common.command.CommandSetFluidState","setfluid","","Use /setfluid <x> <y> <z> <fluid block> [dataValue|state]"
"git.jbredwards.nether_api.mod.common.command.CommandNetherAPI","nether_api","","/nether_api <subcommand>"
"github.kasuminova.stellarcore.common.command.CommandStellarCore","stellarcore","","Usage: /stellarcore <ItemStackCapInitStatus>"
"io.github.lxgaming.sledgehammer.command.SledgehammerCommand","sledgehammer","",""
"ivorius.reccomplex.commands.CommandAnd","#&","","#& §r §e<1>§r..."
"ivorius.reccomplex.commands.CommandAs","#as","","#as §r §e<entity>§r §e<command>§r §e[args...]§r..."
"ivorius.reccomplex.commands.CommandEval","#eval","","#eval §r §e[dependency expression]§r"
"ivorius.reccomplex.commands.CommandReopen","#reopen","","#reopen §r"
"ivorius.reccomplex.commands.CommandSanity","#sanity","","#sanity §r --silent --short"
"ivorius.reccomplex.commands.CommandSelection","#selection","","#selection §r<§ehelp§r|§eexpand§r|§eset§r|§eshrink§r|§eget§r|§ewand§r|§eclear§r|§ecrop§r>"
"ivorius.reccomplex.commands.CommandStructures","#structures","","#structures §r<§ehelp§r|§elookup§r|§esearch§r|§etweak§r|§elist§r>"
"ivorius.reccomplex.commands.CommandVanilla","#vanilla","","#vanilla §r<§ehelp§r|§egen§r|§echeck§r>"
"ivorius.reccomplex.commands.CommandVisual","#visual","","#visual §r §e<type>§r §e<true|false>§r"
"ivorius.reccomplex.commands.clipboard.CommandPaste","#paste","","#paste §r --§bm§rirror --§bs§relect --seed §e[null]§r --§br§rotation §e[rotation]§r -x §e[x]§r -y §e[y]§r -z §e[z]§r --§bg§renerate"
"ivorius.reccomplex.commands.clipboard.CommandSelectCopy","#copy","","#copy §r"
"ivorius.reccomplex.commands.files.CommandDelete","#delete","","#delete §r §e<file type>§r §e[resource expression]§r... --§bd§rirectory §e<directory>§r"
"ivorius.reccomplex.commands.files.CommandReload","#reload","","#reload §r §e[level]§r"
"ivorius.reccomplex.commands.files.CommandWrite","#write","","#write §r §e<file type>§r §e[resource expression]§r... --§bd§rirectory §e[directory]§r"
"ivorius.reccomplex.commands.former.CommandFill","#fill","","#fill §r §e[block]§r §e[source expression]§r... --§bm§retadata §e[metadata]§r --§bs§rhape §e[shape]§r --§bf§rlood §e[direction expression]§r"
"ivorius.reccomplex.commands.former.CommandSelectMove","#move","","#move §r --§bm§rirror --§br§rotation §e[rotation]§r --no§bs§relect --dupli§bc§rate --§bt§rimes §e[1]§r -x §e[x]§r -y §e[y]§r -z §e[z]§r"
"ivorius.reccomplex.commands.former.CommandSelectSetBiome","#setbiome","","#setbiome §r §e[biome]§r"
"ivorius.reccomplex.commands.former.CommandSetProperty","#property","","#property §r §e<key>§r §e<value>§r --§bs§rhape §e[shape]§r --exp §e[positioned block expression]§r"
"ivorius.reccomplex.commands.info.CommandBiomeDict","#biome","","#biome §r<§ehelp§r|§esearch§r|§etypes§r|§elist§r>"
"ivorius.reccomplex.commands.info.CommandDimensionDict","#dimension","","#dimension §r<§ehelp§r|§etypes§r|§elist§r>"
"ivorius.reccomplex.commands.preview.CommandCancel","#cancel","","#cancel §r"
"ivorius.reccomplex.commands.preview.CommandConfirm","#confirm","","#confirm §r"
"ivorius.reccomplex.commands.preview.CommandPreview","#preview","","#preview §r §e<type>§r"
"ivorius.reccomplex.commands.structure.CommandDecorate","#decorate","","#decorate §r §e[z1]§r §e[x1]§r §e[z2]§r §e[x2]§r --one --exp §e[null]§r"
"ivorius.reccomplex.commands.structure.CommandEditStructure","#edit","","#edit §r §e[structure]§r --from §e[structure]§r --id §e[export id]§r --§bd§rirectory §e[directory]§r"
"ivorius.reccomplex.commands.structure.CommandExportStructure","#export","","#export §r §e[copy structure]§r --id §e[export id]§r --§bd§rirectory §e[directory]§r"
"ivorius.reccomplex.commands.structure.CommandGenerateStructure","#gen","","#gen §r §e<structure>§r --§bm§rirror --§bs§relect --seed §e[seed]§r --§br§rotation §e[rotation]§r --sugges§bt§r --gen §e[generation type id]§r -x §e[x]§r -y §e[y position]§r -z §e[z]§r --§bd§rimension §e[dimension]§r"
"ivorius.reccomplex.commands.structure.CommandImportStructure","#import","","#import §r §e[structure]§r --§bm§rirror --§bs§relect --§br§rotation §e[rotation]§r -x §e[x]§r -y §e[y]§r -z §e[z]§r --§bd§rimension §e[dimension]§r"
"ivorius.reccomplex.commands.structure.CommandMapStructure","#map","","#map §r §e<resource expression|structure>§r §e[virtual command]§r §e[args...]§r... --§bn§rosave --§bd§rirectory §e[directory]§r"
"ivorius.reccomplex.commands.structure.CommandRetrogen","#retro","","#retro §r --exp §e[resource expression: only generate these structures]§r --§bd§rimension §e[dimension]§r"
"ivorius.reccomplex.commands.structure.sight.CommandSight","#sight","","#sight §r<§eremember§r|§ehelp§r|§eforget§r|§echeck§r|§einfo§r>"
"ivorius.reccomplex.commands.structure.sight.CommandSightCheck","#whatisthis","","#whatisthis §r §e[x]§r §e[y]§r §e[z]§r"
"ivorius.reccomplex.shadow.mcopts.commands.CommandSplit","#natural","","#natural §r<§ehelp§r|§efloor§r|§esmart§r|§espace§r>"
"ivorius.reccomplex.shadow.mcopts.commands.CommandSplit","#schematic","","#schematic §r<§ehelp§r|§eimport§r|§econvert§r|§eexport§r>"
"jaredbgreat.dldungeons.commands.CmdDimID","dlddimid","","/dlddimid"
"jaredbgreat.dldungeons.commands.CmdForceInstallThemes","dldForceInstallThemes","","/dldForceInstallThemes"
"jaredbgreat.dldungeons.commands.CmdInstallThemes","dldInstallThemes","","/dldInstallThemes"
"jaredbgreat.dldungeons.commands.CmdReload","dldreload","","/dldreload"
"jaredbgreat.dldungeons.commands.CmdSpawn","dldspawn","","/dldspawn"
"jeresources.profiling.ProfileCommand","jer_profile","","jer_profile [chunks|stop] [all]"
"lain.mods.cos.command.CommandClearCosArmor","clearcosarmor","","/clearcosarmor [player]"
"mcjty.fxcontrol.commands.CmdDebug","fctrldebug","","fctrldebug"
"mcjty.fxcontrol.commands.CmdDumpBlockNBT","fctrldumpblock","","fctrldumpblock"
"mcjty.fxcontrol.commands.CmdDumpItemNBT","fctrldumpitem","","fctrldumpitem"
"mcjty.fxcontrol.commands.CmdReload","fctrlreload","","fctrlreload"
"mcp.mobius.waila.commands.CommandDumpHandlers","dumphandlers","","/dumphandlers"
"me.lucko.spark.forge.plugin.ForgeServerSparkPlugin","spark","spark","/spark"
"mod.acgaming.universaltweaks.bugfixes.misc.help.UTHelp$3","help","?","/help [page|command name]"
"mod.acgaming.universaltweaks.bugfixes.misc.help.UTHelp$3","help","?","/help [page|command name]"
"net.darkhax.gamestages.commands.CommandStageTree","gamestage","","/gamestage"
"net.doubledoordev.d3commands.commands.CommandBack","back","","/back - Teleports you back to where you died the last time."
"net.doubledoordev.d3commands.commands.CommandBedTp","tpbed","","/tpbed [target] - Teleports to a players bed, owner can be offline if UUID is used"
"net.doubledoordev.d3commands.commands.CommandClearDrops","cleardrops","","d3.cmd.ping.usage"
"net.doubledoordev.d3commands.commands.CommandDrain","drain","","/drain <radius> [true] True will cause neighbour blocks to update."
"net.doubledoordev.d3commands.commands.CommandExplorers","explorers","","/explorers [amount of players] [dimension] [x z]"
"net.doubledoordev.d3commands.commands.CommandExtinguish","extinguish","","/extinguish <radius>"
"net.doubledoordev.d3commands.commands.CommandFeed","feed","","/feed [target player]"
"net.doubledoordev.d3commands.commands.CommandFireworks","fireworks","","/fireworks [player] [radius] [rockets]"
"net.doubledoordev.d3commands.commands.CommandFly","fly","","/fly [target player]"
"net.doubledoordev.d3commands.commands.CommandGetUUID","getuuid","","/getuuid [username] [username 2] [...]"
"net.doubledoordev.d3commands.commands.CommandGm","gm","","/gamemode <mode> [player]"
"net.doubledoordev.d3commands.commands.CommandGod","god","","/god [target player]"
"net.doubledoordev.d3commands.commands.CommandHeal","heal","","/heal [target player]"
"net.doubledoordev.d3commands.commands.CommandHighlight","highlight","","/highlight [target] [true|false]"
"net.doubledoordev.d3commands.commands.CommandHome","home","","d3.cmd.home.usage"
"net.doubledoordev.d3commands.commands.CommandInvSee","invsee","","/invsee <target player> [enderchest]"
"net.doubledoordev.d3commands.commands.CommandLocatePortal","locateportal","","/locateportal"
"net.doubledoordev.d3commands.commands.CommandLore","lore","","/lore [string]"
"net.doubledoordev.d3commands.commands.CommandMem","mem","","/mem"
"net.doubledoordev.d3commands.commands.CommandName","name","","/name [string]"
"net.doubledoordev.d3commands.commands.CommandNick","nick","","/nick <set|clear> <prefix|dispaly|suffix> [player] [name] Use & to use colors/formatting!"
"net.doubledoordev.d3commands.commands.CommandNightVision","nightvision","","Toggleable Night vision!"
"net.doubledoordev.d3commands.commands.CommandOfflineTp","tpoffline","","/tpoffline <UUID>"
"net.doubledoordev.d3commands.commands.CommandPing","ping","","d3.cmd.ping.usage"
"net.doubledoordev.d3commands.commands.CommandPos","pos","","/pos <username>"
"net.doubledoordev.d3commands.commands.CommandSmite","smite","","/smite [target] [radius] [strikes]"
"net.doubledoordev.d3commands.commands.CommandSpawn","spawn","","/spawn [target]"
"net.doubledoordev.d3commands.commands.CommandSpeed","speed","","/speed [target] [speed]"
"net.doubledoordev.d3commands.commands.CommandTop","top","","/top [target]"
"net.doubledoordev.d3commands.commands.CommandTps","tps","","/tps [worldID]"
"net.doubledoordev.d3commands.commands.CommandTpx","tpx","","/tpx <dim> [target] [x] [y] [z] or /tpx <target> <target>"
"net.minecraft.command.AdvancementCommand","advancement","","/advancement <grant|revoke|test> <player>"
"net.minecraft.command.CommandBlockData","blockdata","","/blockdata <x> <y> <z> <dataTag>"
"net.minecraft.command.CommandClearInventory","clear","","/clear [player] [item] [data] [maxCount] [dataTag]"
"net.minecraft.command.CommandClone","clone","","/clone <x1> <y1> <z1> <x2> <y2> <z2> <x> <y> <z> [maskMode] [cloneMode]"
"net.minecraft.command.CommandCompare","testforblocks","","/testforblocks <x1> <y1> <z1> <x2> <y2> <z2> <x> <y> <z> [mode]"
"net.minecraft.command.CommandDebug","debug","","/debug <start|stop>"
"net.minecraft.command.CommandDefaultGameMode","defaultgamemode","","/defaultgamemode <mode>"
"net.minecraft.command.CommandDifficulty","difficulty","","/difficulty <new difficulty>"
"net.minecraft.command.CommandEffect","effect","","/effect <player> <effect> [seconds] [amplifier] [hideParticles] OR /effect <player> clear"
"net.minecraft.command.CommandEnchant","enchant","","/enchant <player> <enchantment ID> [level]"
"net.minecraft.command.CommandEntityData","entitydata","","/entitydata <entity> <dataTag>"
"net.minecraft.command.CommandExecuteAt","execute","","/execute <entity> <x> <y> <z> <command> OR /execute <entity> <x> <y> <z> detect <x> <y> <z> <block> <dataValue|-1|state|*> <command>"
"net.minecraft.command.CommandFill","fill","","/fill <x1> <y1> <z1> <x2> <y2> <z2> <block> [dataValue|state] [oldBlockHandling] [dataTag]"
"net.minecraft.command.CommandFunction","function","","/function <name> [if <selector>|unless <selector>]"
"net.minecraft.command.CommandGameMode","gamemode","","/gamemode <mode> [player]"
"net.minecraft.command.CommandGameRule","gamerule","","/gamerule <rule name> [value]"
"net.minecraft.command.CommandKill","kill","","/kill [player|entity]"
"net.minecraft.command.CommandLocate","locate","","/locate <feature>"
"net.minecraft.command.CommandParticle","particle","","/particle <name> <x> <y> <z> <xd> <yd> <zd> <speed> [count] [mode] [player] [params]"
"net.minecraft.command.CommandPlaySound","playsound","","/playsound <sound> <source> <player> [x] [y] [z] [volume] [pitch] [minimumVolume]"
"net.minecraft.command.CommandReload","reload","","/reload"
"net.minecraft.command.CommandReplaceItem","replaceitem","","/replaceitem <entity|block> ..."
"net.minecraft.command.CommandSetSpawnpoint","spawnpoint","","/spawnpoint [player] [<x> <y> <z>]"
"net.minecraft.command.CommandShowSeed","seed","","/seed"
"net.minecraft.command.CommandSpreadPlayers","spreadplayers","","/spreadplayers <x> <z> <spreadDistance> <maxRange> <respectTeams true|false> <player ...>"
"net.minecraft.command.CommandStats","stats","","/stats <entity|block> ..."
"net.minecraft.command.CommandStopSound","stopsound","","/stopsound <player> [source] [sound]"
"net.minecraft.command.CommandTP","tp","","/tp [target player] <destination player> OR /tp [target player] <x> <y> <z> [<yaw> <pitch>]"
"net.minecraft.command.CommandTime","time","","/time <set|add|query> <value>"
"net.minecraft.command.CommandTitle","title","","/title <player> title|subtitle|actionbar|clear|reset|times ..."
"net.minecraft.command.CommandToggleDownfall","toggledownfall","","/toggledownfall"
"net.minecraft.command.CommandTrigger","trigger","","/trigger <objective> <add|set> <value>"
"net.minecraft.command.CommandWeather","weather","","/weather <clear|rain|thunder> [duration in seconds]"
"net.minecraft.command.CommandWorldBorder","worldborder","","/worldborder <set|center|damage|warning|get|add> ..."
"net.minecraft.command.CommandXP","xp","","/xp <amount> [player] OR /xp <amount>L [player]"
"net.minecraft.command.RecipeCommand","recipe","","/recipe <give|take> [player] <name|*>"
"net.minecraft.command.server.CommandBroadcast","say","","/say <message ...>"
"net.minecraft.command.server.CommandEmote","me","","/me <action ...>"
"net.minecraft.command.server.CommandMessage","tell","msg, w","/tell <player> <private message ...>"
"net.minecraft.command.server.CommandMessage","tell","msg, w","/tell <player> <private message ...>"
"net.minecraft.command.server.CommandMessage","tell","msg, w","/tell <player> <private message ...>"
"net.minecraft.command.server.CommandMessageRaw","tellraw","","/tellraw <player> <raw json message>"
"net.minecraft.command.server.CommandPublishLocalServer","publish","","/publish"
"net.minecraft.command.server.CommandScoreboard","scoreboard","","/scoreboard <objectives|players|teams> ..."
"net.minecraft.command.server.CommandSetBlock","setblock","","/setblock <x> <y> <z> <block> [dataValue|state] [oldBlockHandling] [dataTag]"
"net.minecraft.command.server.CommandSetDefaultSpawnpoint","setworldspawn","","/setworldspawn [<x> <y> <z>]"
"net.minecraft.command.server.CommandSummon","summon","","/summon <entityname> [x] [y] [z] [dataTag]"
"net.minecraft.command.server.CommandTeleport","teleport","","/teleport <entity> <x> <y> <z> [<y-rot> <x-rot>]"
"net.minecraft.command.server.CommandTestFor","testfor","","/testfor <player> [dataTag]"
"net.minecraft.command.server.CommandTestForBlock","testforblock","","/testforblock <x> <y> <z> <block> [dataValue|-1|state|*] [dataTag]"
"net.minecraftforge.server.command.ForgeCommand","forge","","Use /forge <subcommand>"
"net.shadowfacts.shadowmc.command.CommandShadow","shadow","","/shadow help"
"net.shadowmage.ancientwarfare.automation.command.CommandWarehouse","awwarehouse","","/awwarehouse startdebug <x> <y> <z> OR /awwarehouse stopdebug [x] [y] [z]"
"net.shadowmage.ancientwarfare.core.command.CommandResearch","awresearch","","/awresearch (add:remove:fill:clear) playerName [goalname for add/remove]"
"net.shadowmage.ancientwarfare.core.command.CommandUtils","awutils","","/awutils < exportbiomes [fileName - defaults to ""biomelist.csv""] | exportblocks [fileName - defaults to ""blocklist.csv""] | exportentities [fileName - defaults to ""entitylist.csv""] | exportloottables [fileName - defaults to ""loottablelist.csv""] | loadChunks <diameterInChunks> | reloadmanual >"
"net.shadowmage.ancientwarfare.npc.command.CommandDebugAI","awnpcdebug","","command.aw.npcdebug.usage"
"net.shadowmage.ancientwarfare.npc.command.CommandFaction","awfaction","","/awfaction (set | setall | add | subtract | get) (playername)"
"net.shadowmage.ancientwarfare.npc.command.CommandTeams","awteams","","/awteams (list | describe | player)"
"net.shadowmage.ancientwarfare.structure.command.CommandStructure","awstructure","","/awstructure save [templateName] OR /awstructure delete <templateName> [true to remove the aws file] OR /awstructure build <templateName> <x> <y> <z> [north:east:south:west] OR /awstructure reload OR /awstructure name OR /awstructure scannersReexport [true to reload main settings]"
"net.silentchaos512.lib.command.internal.CommandDataDump","silentlib_datadump","slib_dump","§cUsage: /silentlib_datadump <block|enchantment|entity|item|potion>"
"net.silentchaos512.lib.command.internal.CommandDataDump","silentlib_datadump","slib_dump","§cUsage: /silentlib_datadump <block|enchantment|entity|item|potion>"
"net.silentchaos512.scalinghealth.command.CommandRecalculate","sh_recalculate","","§cUsage: /sh_recalculate"
"net.silentchaos512.scalinghealth.command.CommandScalingHealth","scalinghealth","","§cUsage: /scalinghealth <difficulty|health|world_difficulty> <get|set|add|sub> [value] [player]"
"net.smileycorp.raids.common.command.CommandDebugRaid","debugRaid","","commands.raids.RaidsDebug.usage"
"net.smileycorp.raids.common.command.CommandFindRaiders","findRaiders","","commands.raids.FindRaiders.usage"
