"ID","Registry name","Biome name","temp.","temp cat","rain","snow","oceanic","BiomeType","BiomeDictionary.Type","Valid for","waterColorMultiplier","grassColorMultiplier","foliageColorMultiplier"
14,"minecraft:mushroom_island","MushroomIsland",0.90,"MEDIUM",1.00,"false","false","","MUSHROOM, RARE","stronghold","0x003F76E4 (   4159204)","0xFF55C93F ( -11155137)","0xFF2BBB0F ( -13911281)"
15,"minecraft:mushroom_island_shore","MushroomIslandShore",0.90,"MEDIUM",1.00,"false","false","","BEACH, MUSHROOM, RARE","","0x003F76E4 (   4159204)","0xFF55C93F ( -11155137)","0xFF2BBB0F ( -13911281)"
16,"minecraft:beaches","Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH","village","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
17,"minecraft:desert_hills","DesertHills",2.00,"WARM",0.00,"false","false","","DRY, HILLS, HOT, SANDY","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
18,"minecraft:forest_hills","ForestHills",0.70,"MEDIUM",0.80,"false","false","","FOREST, HILLS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
19,"minecraft:taiga_hills","TaigaHills",0.25,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST, HILLS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
20,"minecraft:smaller_extreme_hills","Extreme Hills Edge",0.24,"MEDIUM",0.30,"false","false","","MOUNTAIN","stronghold","0x003F76E4 (   4159204)","0xFF8CB685 (  -7555451)","0xFF6FA367 (  -9460889)"
21,"minecraft:jungle","Jungle",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, JUNGLE, WET","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
22,"minecraft:jungle_hills","JungleHills",0.95,"MEDIUM",0.90,"false","false","","DENSE, HILLS, HOT, JUNGLE, WET","spawn, stronghold","0x003F76E4 (   4159204)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
23,"minecraft:jungle_edge","JungleEdge",0.95,"MEDIUM",0.80,"false","false","","FOREST, HOT, JUNGLE, RARE, WET","stronghold, village","0x003F76E4 (   4159204)","0xFF64C73F ( -10172609)","0xFF3EB80F ( -12666865)"
24,"minecraft:deep_ocean","Deep Ocean",0.50,"OCEAN",0.50,"false","true","","OCEAN, WATER","","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
25,"minecraft:stone_beach","Stone Beach",0.20,"MEDIUM",0.30,"false","false","","BEACH","stronghold","0x003F76E4 (   4159204)","0xFF8AB689 (  -7686519)","0xFF6DA36B (  -9591957)"
26,"minecraft:cold_beach","Cold Beach",0.05,"COLD",0.30,"true","false","","BEACH, COLD, SNOWY","","0x003D57D6 (   4020182)","0xFF83B593 (  -8145517)","0xFF64A278 ( -10182024)"
27,"minecraft:birch_forest","Birch Forest",0.60,"MEDIUM",0.60,"false","false","WARM","BIRCH_TREES, FOREST, THEMED_TREES","stronghold, village","0x003F76E4 (   4159204)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
28,"minecraft:birch_forest_hills","Birch Forest Hills",0.60,"MEDIUM",0.60,"false","false","","BIRCH_TREES, FOREST, HILLS, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
29,"minecraft:roofed_forest","Roofed Forest",0.70,"MEDIUM",0.80,"false","false","WARM","BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES","stronghold, village","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
30,"minecraft:taiga_cold","Cold Taiga",-0.50,"COLD",0.40,"true","false","ICY","COLD, CONIFEROUS, FOREST, SNOWY","stronghold","0x003D57D6 (   4020182)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
31,"minecraft:taiga_cold_hills","Cold Taiga Hills",-0.50,"COLD",0.40,"true","false","","COLD, CONIFEROUS, FOREST, HILLS, SNOWY","stronghold","0x003D57D6 (   4020182)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
32,"minecraft:redwood_taiga","Mega Taiga",0.30,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF86B87F (  -7948161)","0xFF68A55F (  -9919137)"
33,"minecraft:redwood_taiga_hills","Mega Taiga Hills",0.30,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES","stronghold","0x003F76E4 (   4159204)","0xFF86B87F (  -7948161)","0xFF68A55F (  -9919137)"
34,"minecraft:extreme_hills_with_trees","Extreme Hills+",0.24,"MEDIUM",0.30,"false","false","","FOREST, MOUNTAIN, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF8CB685 (  -7555451)","0xFF6FA367 (  -9460889)"
35,"minecraft:savanna","Savanna",1.20,"WARM",0.00,"false","false","","HOT, PLAINS, SAVANNA, SPARSE","stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
36,"minecraft:savanna_rock","Savanna Plateau",1.00,"WARM",0.00,"false","false","","HOT, PLAINS, RARE, SAVANNA, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
37,"minecraft:mesa","Mesa",2.00,"WARM",0.00,"false","false","","DRY, MESA, SANDY","stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
38,"minecraft:mesa_rock","Mesa Plateau F",2.00,"WARM",0.00,"false","false","","DRY, MESA, SANDY, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
39,"minecraft:mesa_clear_rock","Mesa Plateau",2.00,"WARM",0.00,"false","false","","DRY, MESA, SANDY","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
40,"biomesoplenty:gravel_beach","Gravel Beach",0.60,"MEDIUM",0.50,"false","false","","BEACH","","0x003F76E4 (   4159204)","0xFF8DBB68 (  -7488664)","0xFF72A941 (  -9262783)"
41,"biomesoplenty:white_beach","White Beach",1.00,"WARM",0.95,"false","false","","BEACH","","0x003F76E4 (   4159204)","0xFF4CCC35 ( -11744203)","0xFF21BE02 ( -14565886)"
42,"biomesoplenty:origin_beach","Origin Beach",0.60,"MEDIUM",0.60,"false","false","","BEACH, RARE","","0x003F76E4 (   4159204)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
43,"biomesoplenty:alps","Alps",-0.25,"COLD",0.30,"true","false","","COLD, DRY, MOUNTAIN, SNOWY","stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
44,"biomesoplenty:bamboo_forest","Bamboo Forest",0.90,"MEDIUM",0.85,"false","false","","DENSE, FOREST, JUNGLE, WET","spawn, stronghold","0x003F76E4 (   4159204)","0xFF64C642 ( -10172862)","0xFF3DB714 ( -12732652)"
45,"biomesoplenty:bayou","Bayou",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, SWAMP, WET","","0x0062AF84 (   6467460)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
46,"biomesoplenty:bog","Bog",0.50,"MEDIUM",0.90,"false","false","","COLD, FOREST, SWAMP, WET","spawn","0x003F76E4 (   4159204)","0xFF7FBC6D (  -8405907)","0xFF60AA48 ( -10442168)"
47,"biomesoplenty:boreal_forest","Boreal Forest",0.30,"MEDIUM",0.60,"false","false","","COLD, CONIFEROUS, DENSE, FOREST, HILLS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF8AB780 (  -7686272)","0xFF6CA460 (  -9657248)"
48,"biomesoplenty:brushland","Brushland",1.50,"WARM",0.10,"false","false","","DRY, HOT, SAVANNA, SPARSE","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFB2B952 (  -5064366)","0xFF9FA726 (  -6314202)"
49,"biomesoplenty:chaparral","Chaparral",0.80,"MEDIUM",0.40,"false","false","","DRY, PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
50,"biomesoplenty:cherry_blossom_grove","Cherry Blossom Grove",0.55,"MEDIUM",0.80,"false","false","","DENSE, FOREST, LUSH, MAGICAL, WET","","0x003F76E4 (   4159204)","0xFF81BC69 (  -8274839)","0xFF61AA43 ( -10376637)"
51,"biomesoplenty:cold_desert","Cold Desert",0.20,"MEDIUM",0.00,"false","false","","COLD, DRY, SNOWY","","0x003F76E4 (   4159204)","0xFF8DB58A (  -7490166)","0xFF70A26C (  -9395604)"
52,"biomesoplenty:coniferous_forest","Coniferous Forest",0.45,"MEDIUM",0.50,"false","false","","COLD, CONIFEROUS, DENSE, FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF8DB974 (  -7489164)","0xFF71A652 (  -9329070)"
53,"biomesoplenty:crag","Crag",0.50,"MEDIUM",0.50,"false","false","","COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND","stronghold","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
54,"biomesoplenty:dead_forest","Dead Forest",0.30,"MEDIUM",0.30,"false","false","","COLD, DEAD, DRY, FOREST, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF8EB681 (  -7424383)","0xFF72A361 (  -9264287)"
55,"biomesoplenty:dead_swamp","Dead Swamp",0.60,"MEDIUM",0.90,"false","false","","COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET","","0x00354762 (   3491682)","0xFF7ABE62 (  -8733086)","0xFF59AD3B ( -10900165)"
56,"biomesoplenty:eucalyptus_forest","Eucalyptus Forest",0.95,"MEDIUM",0.90,"false","false","","DENSE, FOREST, JUNGLE, LUSH, WET","spawn","0x003F76E4 (   4159204)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
57,"biomesoplenty:fen","Fen",0.40,"MEDIUM",0.40,"false","false","","COLD, DEAD, DENSE, FOREST, SWAMP, WET","","0x003F76E4 (   4159204)","0xFF90B879 (  -7292807)","0xFF73A557 (  -9198249)"
58,"biomesoplenty:flower_field","Flower Field",0.70,"MEDIUM",0.70,"false","false","","LUSH, PLAINS","spawn","0x003F76E4 (   4159204)","0xFF7FBF5C (  -8405156)","0xFF60AE33 ( -10441165)"
59,"biomesoplenty:grassland","Grassland",0.60,"MEDIUM",0.70,"false","false","","HILLS, PLAINS, WET","spawn, village","0x003F76E4 (   4159204)","0xFF83BD65 (  -8143515)","0xFF65AB3E ( -10114242)"
60,"biomesoplenty:grove","Grove",0.60,"MEDIUM",0.80,"false","false","","FOREST, LUSH, PLAINS, SPARSE, WET","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF7FBD64 (  -8405660)","0xFF5FAC3C ( -10507204)"
61,"biomesoplenty:highland","Highland",0.60,"MEDIUM",0.80,"false","false","","HILLS, MOUNTAIN, WET","spawn, stronghold","0x003F76E4 (   4159204)","0xFF7FBD64 (  -8405660)","0xFF5FAC3C ( -10507204)"
62,"biomesoplenty:land_of_lakes","Land of Lakes",0.50,"MEDIUM",0.90,"false","false","","DENSE, FOREST, SWAMP, WET","spawn","0x003F76E4 (   4159204)","0xFF7FBC6D (  -8405907)","0xFF60AA48 ( -10442168)"
63,"biomesoplenty:lavender_fields","Lavender Fields",0.70,"MEDIUM",0.70,"false","false","","LUSH, MAGICAL, PLAINS","","0x003F76E4 (   4159204)","0xFF7FBF5C (  -8405156)","0xFF60AE33 ( -10441165)"
64,"biomesoplenty:lush_desert","Lush Desert",1.20,"WARM",0.40,"false","false","","DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE","village","0x003F76E4 (   4159204)","0xFF8EC048 (  -7421880)","0xFF72AF1A (  -9261286)"
65,"biomesoplenty:lush_swamp","Lush Swamp",0.70,"MEDIUM",1.00,"false","false","","DENSE, LUSH, SWAMP, WET","spawn","0x003F76E4 (   4159204)","0xFF6DC257 (  -9584041)","0xFF48B22C ( -12013012)"
66,"biomesoplenty:mangrove","Mangrove",0.85,"MEDIUM",0.30,"false","false","","DENSE, LUSH, SWAMP, WATER, WET","","0x00448FBD (   4493245)","0xFF9ABC57 (  -6636457)","0xFF81AA2D (  -8279507)"
67,"biomesoplenty:maple_woods","Maple Woods",0.25,"MEDIUM",0.80,"false","false","","COLD, CONIFEROUS, DENSE, FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
68,"biomesoplenty:marsh","Marsh",0.60,"MEDIUM",0.80,"false","false","","LUSH, WET","","0x003F76E4 (   4159204)","0xFF7FBD64 (  -8405660)","0xFF5FAC3C ( -10507204)"
69,"biomesoplenty:meadow","Meadow",0.40,"MEDIUM",0.70,"false","false","","COLD, FOREST, LUSH, PLAINS, SPARSE, WET","spawn, village","0x003F76E4 (   4159204)","0xFF88B977 (  -7816841)","0xFF6AA755 (  -9787563)"
70,"biomesoplenty:moor","Moor",0.60,"MEDIUM",1.00,"false","false","","HILLS, SWAMP, WET","stronghold","0x003F76E4 (   4159204)","0xFF75BF61 (  -9060511)","0xFF53AE39 ( -11293127)"
71,"biomesoplenty:mountain","Mountain",0.50,"MEDIUM",0.10,"false","false","","DRY, FOREST, MOUNTAIN, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF9CB774 (  -6506636)","0xFF83A352 (  -8150190)"
72,"biomesoplenty:mystic_grove","Mystic Grove",0.70,"MEDIUM",0.80,"false","false","","DENSE, FOREST, LUSH, MAGICAL, RARE, WET","","0x009C3FE4 (  10239972)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
73,"biomesoplenty:ominous_woods","Ominous Woods",0.60,"MEDIUM",0.60,"false","false","","DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET","stronghold","0x00312346 (   3220294)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
74,"biomesoplenty:orchard","Orchard",0.70,"MEDIUM",0.70,"false","false","","DENSE, FOREST, LUSH, PLAINS","spawn, village","0x003F76E4 (   4159204)","0xFF7FBF5C (  -8405156)","0xFF60AE33 ( -10441165)"
75,"biomesoplenty:outback","Outback",2.00,"WARM",0.05,"false","false","","DRY, HOT, SANDY, SAVANNA, SPARSE","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFB9B953 (  -4605613)","0xFFA7A529 (  -5790423)"
76,"biomesoplenty:overgrown_cliffs","Overgrown Cliffs",0.95,"MEDIUM",0.75,"false","false","","DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET","stronghold","0x003F76E4 (   4159204)","0xFF6AC640 (  -9779648)","0xFF45B611 ( -12208623)"
77,"biomesoplenty:prairie","Prairie",0.80,"MEDIUM",0.30,"false","false","","DRY, PLAINS, SPARSE","spawn, village","0x003F76E4 (   4159204)","0xFF99BB5B (  -6702245)","0xFF81A932 (  -8279758)"
78,"biomesoplenty:quagmire","Quagmire",0.60,"MEDIUM",0.90,"false","false","","DEAD, SWAMP, WASTELAND, WET","","0x00433721 (   4405025)","0xFF7ABE62 (  -8733086)","0xFF59AD3B ( -10900165)"
79,"biomesoplenty:rainforest","Rainforest",0.95,"MEDIUM",1.20,"false","false","","DENSE, FOREST, HILLS, JUNGLE, LUSH, WET","stronghold","0x003F76E4 (   4159204)","0xFF4ECB39 ( -11613383)","0xFF23BD07 ( -14435065)"
80,"biomesoplenty:redwood_forest","RedwoodForest",0.70,"MEDIUM",0.70,"false","false","","DENSE, FOREST","stronghold","0x003F76E4 (   4159204)","0xFF7FBF5C (  -8405156)","0xFF60AE33 ( -10441165)"
81,"biomesoplenty:sacred_springs","Sacred Springs",0.85,"MEDIUM",0.90,"false","false","","DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET","","0x003F76E4 (   4159204)","0xFF64C647 ( -10172857)","0xFF3EB61A ( -12667366)"
82,"biomesoplenty:seasonal_forest","Seasonal Forest",0.40,"MEDIUM",0.80,"false","false","","COLD, DENSE, FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF85B976 (  -8013450)","0xFF67A754 (  -9984172)"
83,"biomesoplenty:shield","Shield",0.40,"MEDIUM",0.80,"false","false","","COLD, DENSE, FOREST, WET","spawn","0x003F76E4 (   4159204)","0xFF85B976 (  -8013450)","0xFF67A754 (  -9984172)"
84,"biomesoplenty:shrubland","Shrubland",0.60,"MEDIUM",0.05,"false","false","","DRY, PLAINS, SPARSE","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFA4B76E (  -5982354)","0xFF8CA44A (  -7560118)"
85,"biomesoplenty:snowy_coniferous_forest","Snowy Coniferous Forest",-0.25,"COLD",0.50,"true","false","","COLD, CONIFEROUS, DENSE, FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
86,"biomesoplenty:snowy_forest","Snowy Forest",-0.25,"COLD",0.50,"true","false","","COLD, FOREST, SNOWY, SPARSE, WET","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
87,"biomesoplenty:steppe","Steppe",0.75,"MEDIUM",0.10,"false","false","","DRY, PLAINS, SANDY","stronghold, village","0x003F76E4 (   4159204)","0xFFA8B863 (  -5719965)","0xFF92A53C (  -7166660)"
88,"biomesoplenty:temperate_rainforest","Temperate Rainforest",0.75,"MEDIUM",1.20,"false","false","","DENSE, FOREST, LUSH, WET","spawn, stronghold","0x003F76E4 (   4159204)","0xFF67C450 (  -9976752)","0xFF41B524 ( -12471004)"
89,"biomesoplenty:tropical_rainforest","Tropical Rainforest",1.00,"WARM",1.00,"false","false","","DENSE, HOT, JUNGLE, LUSH, WET","stronghold","0x001FA14A (   2072906)","0xFF47CD33 ( -12071629)","0xFF1ABF00 ( -15024384)"
90,"biomesoplenty:tundra","Tundra",0.20,"MEDIUM",0.50,"false","false","","COLD, DEAD, SPARSE, WASTELAND, WET","","0x003F76E4 (   4159204)","0xFF88B688 (  -7817592)","0xFF6BA36A (  -9723030)"
91,"biomesoplenty:wasteland","Wasteland",2.00,"WARM",0.00,"false","false","","DEAD, DRY, SPARSE, WASTELAND","stronghold","0x00221200 (   2232832)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
92,"biomesoplenty:wetland","Wetland",0.60,"MEDIUM",0.70,"false","false","","DENSE, FOREST, LUSH, SWAMP, WET","spawn","0x00272179 (   2564473)","0xFF83BD65 (  -8143515)","0xFF65AB3E ( -10114242)"
93,"biomesoplenty:woodland","Woodland",0.70,"MEDIUM",0.50,"false","false","","DENSE, DRY, FOREST","spawn, village","0x003F76E4 (   4159204)","0xFF8CBD5F (  -7553697)","0xFF70AB38 (  -9393352)"
94,"biomesoplenty:xeric_shrubland","Xeric Shrubland",1.75,"WARM",0.10,"false","false","","DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE","village","0x003F76E4 (   4159204)","0xFFB2B952 (  -5064366)","0xFF9FA726 (  -6314202)"
95,"biomesoplenty:alps_foothills","AlpsFoothills",-0.25,"COLD",0.30,"true","false","","COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE","stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
96,"biomesoplenty:mountain_foothills","MountainFoothills",0.50,"MEDIUM",0.10,"false","false","","DRY, FOREST, HILLS, MOUNTAIN, SPARSE","stronghold, village","0x003F76E4 (   4159204)","0xFF9CB774 (  -6506636)","0xFF83A352 (  -8150190)"
97,"biomesoplenty:redwood_forest_edge","RedwoodForestEdge",0.70,"MEDIUM",0.70,"false","false","","DENSE, FOREST","stronghold","0x003F76E4 (   4159204)","0xFF7FBF5C (  -8405156)","0xFF60AE33 ( -10441165)"
98,"biomesoplenty:pasture","Pasture",0.80,"MEDIUM",0.30,"false","false","","DRY, PLAINS, SPARSE","spawn","0x003F76E4 (   4159204)","0xFF99BB5B (  -6702245)","0xFF81A932 (  -8279758)"
99,"biomesoplenty:glacier","Glacier",-0.50,"COLD",0.20,"false","false","","COLD, SNOWY, WASTELAND","stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
100,"biomesoplenty:oasis","Oasis",2.00,"WARM",0.50,"false","false","","HOT, JUNGLE, LUSH, SANDY, SPARSE, WET","","0x003F76E4 (   4159204)","0xFF82C245 (  -8207803)","0xFF64B216 ( -10178026)"
101,"biomesoplenty:snowy_tundra","SnowyTundra",0.00,"COLD",0.50,"false","false","","COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET","","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
102,"biomesoplenty:coral_reef","Coral Reef",0.50,"MEDIUM",0.50,"false","false","","OCEAN, WATER","","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
103,"biomesoplenty:kelp_forest","Kelp Forest",0.50,"MEDIUM",0.50,"false","false","","OCEAN, WATER","","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
104,"biomesoplenty:origin_island","Origin Island",0.60,"MEDIUM",0.60,"false","false","","FOREST, RARE, WATER","spawn","0x003F76E4 (   4159204)","0xFF88BB66 (  -7816346)","0xFF6BA940 (  -9721536)"
105,"biomesoplenty:tropical_island","Tropical Island",0.95,"MEDIUM",1.00,"false","false","","DENSE, JUNGLE, LUSH, WATER, WET","spawn","0x003F76E4 (   4159204)","0xFF4ECB39 ( -11613383)","0xFF23BD07 ( -14435065)"
106,"biomesoplenty:volcanic_island","Volcanic Island",1.20,"WARM",0.20,"false","false","","DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER","stronghold","0x003F76E4 (   4159204)","0xFFA6BB4E (  -5850290)","0xFF91A922 (  -7231198)"
107,"biomesoplenty:flower_island","Flower Island",0.80,"MEDIUM",0.80,"false","false","","DENSE, LUSH, MAGICAL, PLAINS, WATER","stronghold","0x003F76E4 (   4159204)","0xFF72C250 (  -9256368)","0xFF4EB224 ( -11619804)"
108,"biomesoplenty:corrupted_sands","Corrupted Sands",2.00,"WARM",0.00,"false","false","","DENSE, DRY, HOT, NETHER, SANDY","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
109,"biomesoplenty:fungi_forest","Fungi Forest",2.00,"WARM",0.00,"false","false","","DENSE, HOT, MUSHROOM, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
110,"biomesoplenty:phantasmagoric_inferno","Phantasmagoric Inferno",2.00,"WARM",0.00,"false","false","","DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
111,"biomesoplenty:undergarden","Undergarden",2.00,"WARM",0.00,"false","false","","HOT, LUSH, NETHER","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
112,"biomesoplenty:visceral_heap","Visceral Heap",2.00,"WARM",0.00,"false","false","","HOT, NETHER, WET","stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
113,"pvj:prairie","Prairie",0.80,"MEDIUM",0.25,"false","false","WARM","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF9EBB5C (  -6374564)","0xFF86A933 (  -7952077)"
114,"pvj:redwoods","Redwoods",0.45,"MEDIUM",0.60,"false","false","COOL","CONIFEROUS, FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF8AB973 (  -7685773)","0xFF6DA751 (  -9590959)"
115,"pvj:redwood_peaks","Redwood Peaks",0.45,"MEDIUM",0.55,"false","false","COOL","CONIFEROUS, FOREST, MOUNTAIN","spawn, stronghold","0x003F76E4 (   4159204)","0xFF8CB974 (  -7554700)","0xFF6FA751 (  -9459887)"
